miRNAID,GeneSymbol
hsa-miR-181a-5p,ZNF562
hsa-miR-181a-5p,PHC3
hsa-miR-181a-5p,PHC3
hsa-miR-181a-5p,NMT2
hsa-miR-181a-5p,PCDHA5
hsa-miR-181a-5p,ZNF268
hsa-miR-181a-5p,RLIM
hsa-miR-181a-5p,MIDEAS
hsa-miR-181a-5p,DRAM1
hsa-miR-181a-5p,TBL1XR1
hsa-miR-181a-5p,ENAH
hsa-miR-181a-5p,TBL1XR1
hsa-miR-181a-5p,TNRC6B
hsa-miR-181a-5p,RCOR1
hsa-miR-181a-5p,RLIM
hsa-miR-181a-5p,ZNF562
hsa-miR-181a-5p,DRAM1
hsa-miR-181a-5p,JCAD
hsa-miR-181a-5p,PHACTR4
hsa-miR-181a-5p,ZNF268
hsa-miR-181a-5p,PHOX2B
hsa-miR-181a-5p,NMT2
hsa-miR-181a-5p,CCDC6
hsa-miR-181a-5p,TBL1XR1
hsa-miR-181a-5p,TBL1XR1
hsa-miR-181a-5p,ETS1
hsa-miR-181a-5p,TBL1XR1
hsa-miR-181a-5p,ATXN7
hsa-miR-181a-5p,ATXN7
hsa-miR-181a-5p,CPOX
hsa-miR-181a-5p,ATXN7
hsa-miR-181a-5p,ENAH
hsa-miR-181a-5p,TNRC6B
hsa-miR-181a-5p,MTMR12
hsa-miR-181a-5p,MIDEAS
hsa-miR-181a-5p,PHACTR4
hsa-miR-181a-5p,ZNF562
hsa-miR-181a-5p,ETS1
hsa-miR-181a-5p,COPS2
hsa-miR-181a-5p,ETS1
hsa-miR-181a-5p,ETS1
hsa-miR-181a-5p,TNRC6B
hsa-miR-181a-5p,ZNF268
hsa-miR-181a-5p,ZNF268
hsa-miR-181a-5p,ZNF268
hsa-miR-181a-5p,ZNF268
hsa-miR-181a-5p,ZNF268
hsa-miR-181a-5p,ZNF268
hsa-miR-181b-5p,GSKIP
hsa-miR-181b-5p,CPEB4
hsa-miR-181b-5p,CPEB4
hsa-miR-181b-5p,CPEB4
hsa-miR-181b-5p,NMT2
hsa-miR-181b-5p,OSBPL8
hsa-miR-181b-5p,OSBPL8
hsa-miR-181b-5p,KLHL15
hsa-miR-181b-5p,CAPRIN2
hsa-miR-181b-5p,PURB
hsa-miR-181b-5p,ZNF268
hsa-miR-181b-5p,ZNF268
hsa-miR-181b-5p,ZNF268
hsa-miR-181b-5p,C2orf69
hsa-miR-181b-5p,RLIM
hsa-miR-181b-5p,OSBPL8
hsa-miR-181b-5p,TBL1XR1
hsa-miR-181b-5p,PBX3
hsa-miR-181b-5p,DDX3X
hsa-miR-181b-5p,DDX3X
hsa-miR-181b-5p,TBL1XR1
hsa-miR-181b-5p,TMEM94
hsa-miR-181b-5p,NLK
hsa-miR-181b-5p,KRBOX4
hsa-miR-181b-5p,ZBTB4
hsa-miR-181b-5p,CAPRIN2
hsa-miR-181b-5p,PHC3
