"","logFC","logCPM","LR","PValue","FDR","tag"
"hsa-miR-196b-5p",2.00497718175428,4.10626438956579,179.611643396543,5.89134985640513e-41,3.71155040953523e-38,"Up"
"hsa-miR-21-5p",-1.39906528878013,17.5610325884341,173.569370552,1.22921119120163e-39,3.87201525228514e-37,"Down"
"hsa-miR-345-5p",1.41520563838148,6.39217840299139,146.577381864186,9.7077488772671e-34,2.03862726422609e-31,"Up"
"hsa-miR-874-3p",1.35816712263607,7.03555648781821,141.250337819378,1.41841115226975e-32,2.23399756482486e-30,"Up"
"hsa-miR-21-3p",-1.18733604866582,10.3470876826619,109.818431131593,1.07390208379754e-25,1.3531166255849e-23,"Down"
"hsa-miR-483-5p",2.93044386695594,1.10733658421028,104.371969558862,1.67686124614231e-24,1.76070430844943e-22,"Up"
"hsa-miR-511-5p",-1.28331067872824,3.69911999722881,94.1666751340277,2.90042903280782e-22,2.61038612952703e-20,"Down"
"hsa-miR-22-3p",0.533612559914469,16.6578566124661,86.6089716403905,1.32245856602897e-20,1.04143612074781e-18,"Stable"
"hsa-miR-190a-5p",0.912026073191536,3.10429301333016,83.7595619076581,5.58761435024859e-20,3.91133004517401e-18,"Stable"
"hsa-miR-30c-5p",0.644076208178307,10.4200220079108,81.1130980493897,2.13162457277849e-19,1.34292348085045e-17,"Stable"
"hsa-miR-483-3p",2.82628563111615,2.51368096043242,78.7395151992816,7.08638383916013e-19,4.0585652897008e-17,"Up"
"hsa-miR-126-5p",0.631799162719938,8.76840774240463,77.874496267593,1.09799965915376e-18,5.53269782452755e-17,"Stable"
"hsa-miR-183-5p",0.93314407434881,12.2787788121976,77.7203474536234,1.18712115108282e-18,5.53269782452755e-17,"Stable"
"hsa-miR-874-5p",1.01307908846206,1.83154690543554,77.6510834896383,1.22948840545057e-18,5.53269782452755e-17,"Up"
"hsa-miR-126-3p",0.677636461851342,12.5835747128746,75.138515720326,4.388218208857e-18,1.84305164771994e-16,"Stable"
"hsa-miR-509-3p",-1.38672221936667,3.5172125884427,73.9088932370871,8.18069165033607e-18,3.22114733731983e-16,"Down"
"hsa-miR-204-5p",1.66651772013652,5.78969640892089,72.4803171155758,1.68706214128158e-17,6.25205381769056e-16,"Up"
"hsa-miR-139-5p",0.83756623001643,7.13728488311667,71.1944660519609,3.23694738241229e-17,1.1329315838443e-15,"Stable"
"hsa-miR-127-5p",-1.5879216283123,5.91419888750355,68.8191314993123,1.07920661368319e-16,3.5784219295811e-15,"Down"
"hsa-miR-30e-5p",0.436101506324326,13.5968147162637,67.8612529399441,1.75414609485331e-16,5.52556019878794e-15,"Stable"
"hsa-miR-676-5p",1.22251046142717,0.148821080058192,65.9177721384292,4.70133265487719e-16,1.41039979646316e-14,"Up"
"hsa-miR-136-5p",-1.52822788486771,3.09726761673083,65.3194289524661,6.36903180148661e-16,1.82385910678935e-14,"Down"
"hsa-miR-146b-3p",-1.68455366762953,12.3329500504897,64.5473046964391,9.42423664949935e-16,2.58142134312374e-14,"Down"
"hsa-miR-199b-5p",-1.76975060222063,6.05628241039389,63.7545677723305,1.40926421680697e-15,3.6993185691183e-14,"Down"
"hsa-miR-1251-5p",0.928544613207022,7.62168126260203,62.8395888321474,2.24245849233648e-15,5.65099540068794e-14,"Stable"
"hsa-miR-514a-3p",-1.25904211551296,4.56877498757894,62.7197590129352,2.3831278610053e-15,5.77450212474362e-14,"Down"
"hsa-miR-136-3p",-1.48954786109683,2.02796322336157,61.5535110157342,4.30872645213036e-15,1.00536950549708e-13,"Down"
"hsa-miR-3074-5p",0.881925151588503,2.41010128951896,60.9457377242359,5.86698182432541e-15,1.32007091047322e-13,"Stable"
"hsa-miR-152-3p",0.709441134827369,8.63613817432357,60.0678247226626,9.16442859555659e-15,1.99089310868988e-13,"Stable"
"hsa-miR-532-3p",0.531194964136669,5.51025730878271,59.8419136203109,1.02790817205355e-14,2.15860716131245e-13,"Stable"
"hsa-miR-577",1.21811627863098,2.41839329500409,59.5450053826216,1.19529116401324e-14,2.41849230024082e-13,"Up"
"hsa-miR-511-3p",-1.35652746102897,-0.100393557912113,59.4911703848985,1.22844053345565e-14,2.41849230024082e-13,"Down"
"hsa-miR-652-3p",0.599042209705707,5.01111096113111,59.0780020771447,1.51543962710187e-14,2.8931120153763e-13,"Stable"
"hsa-miR-493-5p",-1.53996044341007,1.50237917484492,57.6459257950846,3.13812295689447e-14,5.8147572436574e-13,"Down"
"hsa-miR-148b-3p",0.412354049090695,8.27725881422486,57.3540122944378,3.64019956880833e-14,6.55235922385499e-13,"Stable"
"hsa-miR-382-5p",-1.47249017784951,2.16821609107568,57.1153242425601,4.10990740392495e-14,7.19233795686866e-13,"Down"
"hsa-miR-362-5p",0.914518902411593,3.38733497347119,56.7730564567032,4.89122298533164e-14,8.32829859664577e-13,"Stable"
"hsa-miR-146b-5p",-1.55585609472621,14.5573004076817,55.1575089650308,1.11247856467549e-13,1.84437235722515e-12,"Down"
"hsa-miR-676-3p",1.01802772225617,1.62171960735268,54.6179352784843,1.46393486997022e-13,2.36481786687497e-12,"Up"
"hsa-miR-7-2-3p",1.58302340569373,2.54220982762903,54.08479740703,1.92021208815827e-13,3.02433403884928e-12,"Up"
"hsa-miR-134-5p",-1.36837761913052,5.90907962637795,53.0735561938891,3.21288770915698e-13,4.9368762360217e-12,"Down"
"hsa-miR-127-3p",-1.44978753288262,7.41695961348352,52.8622315174048,3.57783636602574e-13,5.36675454903861e-12,"Down"
"hsa-miR-1179",1.44641742056553,2.49270405422662,51.1578371202301,8.52297274542168e-13,1.24871461153852e-11,"Up"
"hsa-miR-500a-3p",0.539591310243893,7.5656149839067,51.083492207978,8.85195903308061e-13,1.26743958882745e-11,"Stable"
"hsa-miR-1180-3p",0.55488605833837,5.62474401847209,50.7220741729934,1.06415956189182e-12,1.48982338664855e-11,"Stable"
"hsa-miR-6715a-3p",1.8058705114791,2.85006659883022,50.6651532423159,1.09547383498785e-12,1.50032286096162e-11,"Up"
"hsa-miR-381-3p",-1.29632862035073,3.67962746847315,49.8297527193648,1.67681849564114e-12,2.21107548396993e-11,"Down"
"hsa-miR-92b-3p",-0.594719844190741,6.92147443323603,49.8206348544498,1.68462894016757e-12,2.21107548396993e-11,"Stable"
"hsa-miR-96-5p",0.690713314825398,4.20092234232667,49.7521758438589,1.74444624195838e-12,2.24285945394649e-11,"Stable"
"hsa-miR-3920",0.94205016250087,-0.410678526218496,49.3191819582377,2.17525036326523e-12,2.74081545771418e-11,"Stable"
"hsa-miR-484",0.468691365719759,5.6436160949213,49.0947885149002,2.43887322749536e-12,3.01272575161192e-11,"Stable"
"hsa-miR-411-5p",-1.49876755408403,1.29566065689287,48.9893216887457,2.57359788566836e-12,3.11801282302128e-11,"Down"
"hsa-miR-654-3p",-1.39048807006604,3.20081629919467,47.9646848341681,4.33965618438071e-12,5.15845923803744e-11,"Down"
"hsa-miR-182-5p",0.699547614676696,13.7787094132793,47.7229198521785,4.90918635004341e-12,5.72738407505064e-11,"Stable"
"hsa-miR-133b",-1.53642133508543,2.11135579455209,47.3120749998426,6.05381376055562e-12,6.93436848936371e-11,"Down"
"hsa-miR-145-5p",0.593659705530169,10.7326293075461,47.1333845034522,6.63164531250368e-12,7.46060097656664e-11,"Stable"
"hsa-miR-376c-3p",-1.38905904378177,0.901684965639384,46.9423236071718,7.31067735996735e-12,7.9606975901532e-11,"Down"
"hsa-miR-377-5p",-1.73531416359047,-0.111376810849415,46.9318221784683,7.34995497385857e-12,7.9606975901532e-11,"Down"
"hsa-miR-379-5p",-1.3454951094995,7.50079779809088,46.9039430762102,7.45525647331807e-12,7.9606975901532e-11,"Down"
"hsa-miR-889-3p",-1.24529993198686,2.11335925407246,46.6565070082482,8.45856447534758e-12,8.88149269911496e-11,"Down"
"hsa-miR-223-3p",-0.774487840240691,6.84816208723693,46.2095132572406,1.06259777686117e-11,1.09743704823367e-10,"Stable"
"hsa-miR-337-3p",-1.19277104402392,3.11603480864495,46.0107000445873,1.17608882674184e-11,1.19505800136671e-10,"Down"
"hsa-miR-3200-3p",0.595683230399741,2.43138514059914,45.8613713453785,1.2692422006806e-11,1.2692422006806e-10,"Stable"
"hsa-miR-508-3p",-1.03244087797547,5.70237874652468,44.9726411302995,1.99806593316288e-11,1.96684615295721e-10,"Down"
"hsa-miR-154-5p",-1.36749830028111,0.554289924118321,44.6900772752009,2.3082414733368e-11,2.23721865877259e-10,"Down"
"hsa-miR-218-1-3p",-0.980170173984026,1.14473349115642,44.6145775156117,2.39898817922405e-11,2.28994326198659e-10,"Stable"
"hsa-miR-3193",0.716363947152495,0.285192687610001,44.3696781234826,2.7186547923936e-11,2.55634704359398e-10,"Stable"
"hsa-miR-1275",1.15457408697905,0.547581245688333,44.0237111345019,3.24421950998373e-11,2.97389048615633e-10,"Up"
