"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","tag"
"hsa-let-7a-2-3p",11.0194740521683,-0.566983379694186,0.114528119893744,-4.95060409810459,7.39834708785665e-07,2.96876348111445e-06,"Stable"
"hsa-let-7a-3p",34.3334507305001,0.116935862001323,0.0779606609981573,1.49993420404794,0.133631446845805,0.197973868178313,"Stable"
"hsa-let-7a-5p",52976.0595290069,-0.0450829189938898,0.0998077336151903,-0.451697652685988,0.651486809483468,0.722599806293283,"Stable"
"hsa-let-7b-3p",26.8660111666146,-0.50630431684285,0.0775242732059839,-6.53091342756078,6.53697781441168e-11,4.38116598199932e-10,"Stable"
"hsa-let-7b-5p",10160.906253077,-0.383164277881109,0.0912516853301843,-4.19898302693994,2.68116414359105e-05,8.68545130298092e-05,"Stable"
"hsa-let-7c-3p",27.2087724498555,-0.353971216624559,0.0999989317566417,-3.53974997938965,0.000400506264653988,0.00103834957502886,"Stable"
"hsa-let-7c-5p",5289.72629110931,-0.301666737362741,0.0899413394012322,-3.35403874759962,0.0007964120961971,0.00194472721164408,"Stable"
"hsa-let-7d-3p",674.935178990943,0.538251873022658,0.0770519159713649,6.98557415785339,2.8369336100586e-12,2.17959533455722e-11,"Stable"
"hsa-let-7d-5p",420.647169259265,0.0633173043864337,0.0499005233896233,1.26887054654822,0.204487238738735,0.282515264046936,"Stable"
"hsa-let-7e-3p",33.6313142465879,0.527767122133602,0.0773157142611159,6.82613007171079,8.72358411893612e-12,6.0394043900327e-11,"Stable"
"hsa-let-7e-5p",3085.05215846888,0.820061816097072,0.112154334585094,7.31190478844018,2.63381718970942e-13,2.30459004099574e-12,"Stable"
"hsa-let-7f-1-3p",4.95536243766285,-0.0577712355278811,0.0827902683855082,-0.697802249642102,0.485300872023062,0.577957560254309,"Stable"
"hsa-let-7f-2-3p",1.62128515826176,0.0218232969274357,0.145548550117645,0.149938263966191,0.880813322663629,0.915697018610703,"Stable"
"hsa-let-7f-5p",25285.9554630256,0.0449593412742267,0.137541525948361,0.326878307945385,0.743759928387833,0.796885637558392,"Stable"
"hsa-let-7g-3p",73.2295988508547,0.00579263026956798,0.0762546229314218,0.0759643159573089,0.939447487876923,0.951917301229764,"Stable"
"hsa-let-7g-5p",1123.87420859797,-0.139720038023163,0.0932074918929112,-1.49902153985317,0.133868044196764,0.197973868178313,"Stable"
