"","logFC","logCPM","LR","PValue","FDR","tag"
"hsa-miR-34a-5p",2.30004567065993,8.88724872838961,292.231930175894,1.62272619612495e-65,1.02231750355872e-62,"Up"
"hsa-miR-4709-3p",3.05761226168485,3.62394228899203,283.073036289064,1.60672332202081e-63,5.06117846436556e-61,"Up"
"hsa-miR-146b-3p",5.99397033269363,12.2297358092229,273.077199802262,2.42248316731915e-61,4.47920988314485e-59,"Up"
"hsa-miR-221-3p",3.3905314555675,10.7806005647622,272.75756599324,2.84394278294911e-61,4.47920988314485e-59,"Up"
"hsa-miR-222-3p",3.23413963908022,8.75459837432844,270.330062382867,9.61554169155699e-61,1.21155825313618e-58,"Up"
"hsa-miR-146b-5p",5.76291210646618,14.4646991620835,253.029873558103,5.67434191292074e-57,5.95805900856677e-55,"Up"
"hsa-miR-181b-5p",1.57806238671379,10.2120186664883,214.419627954555,1.49167710441698e-48,1.34250939397528e-46,"Up"
"hsa-miR-144-5p",-2.13116351662273,8.15506399397881,212.039765052468,4.9301130870553e-48,3.88246405605605e-46,"Down"
"hsa-miR-551b-3p",4.44246912684018,5.14806093492661,206.551789534617,7.76598660015269e-47,5.43619062010688e-45,"Up"
"hsa-miR-451a",-2.1002143081504,10.3811773932253,202.728254423899,5.30255713965184e-46,3.34061099798066e-44,"Down"
"hsa-miR-181a-5p",1.43044283983397,12.4224159560517,190.766778280974,2.16252749320385e-43,1.23853847338038e-41,"Up"
"hsa-miR-181b-2-3p",1.97799059311423,4.24664430405802,185.609689167801,2.88867528075857e-42,1.51655452239825e-40,"Up"
"hsa-miR-181a-2-3p",1.6070375920809,12.2999330230477,179.820079170819,5.30523272041936e-41,2.57099739528015e-39,"Up"
"hsa-miR-486-5p",-2.02551122129582,8.37841493423192,162.149059760926,3.83816481023502e-37,1.72717416460576e-35,"Down"
"hsa-miR-144-3p",-1.89062139290321,4.52780769604733,151.008547249586,1.04356635378246e-34,4.38297868588632e-33,"Down"
"hsa-miR-21-5p",1.95387611301572,17.5464694832191,147.775096599495,5.31244166573715e-34,2.091773905884e-32,"Up"
"hsa-miR-363-3p",-1.42937674326722,3.04990455918486,140.853153153136,1.73241834786107e-32,6.42013858324984e-31,"Down"
"hsa-miR-28-5p",-0.655905891814747,5.94662464214079,132.510805701201,1.15675338870694e-30,4.04863686047429e-29,"Stable"
