"","logFC","AveExpr","t","P.Value","adj.P.Val","B","tag"
"hsa-miR-34a-5p",2.23370972394294,8.51614819920293,19.1074718770701,2.12038879310314e-63,1.33584493965498e-60,133.576691379974,"Up"
"hsa-miR-4709-3p",3.05309959363899,2.85551843771779,15.884287767752,2.20295822708491e-47,6.93931841531748e-45,96.8949535618847,"Up"
"hsa-miR-451a",-2.60777926514733,9.53649862540835,-15.0413924076242,2.28313555792827e-43,4.79458467164936e-41,87.7043758452222,"Down"
"hsa-miR-221-3p",3.00048629969326,10.0212577883089,14.9073617901567,9.74138652309936e-43,1.12612391412508e-40,86.2838918083817,"Up"
"hsa-miR-486-5p",-2.53817087205807,7.44403592220087,-14.903285742397,1.0179921055189e-42,1.12612391412508e-40,86.2288817469442,"Down"
"hsa-miR-222-3p",2.98411695113238,8.05288983410544,14.8984569246817,1.07249896583341e-42,1.12612391412508e-40,86.2027583140595,"Up"
"hsa-miR-34a-3p",1.97454543139381,0.274873657978037,14.8238526233448,2.39864588399235e-42,2.13189177084426e-40,85.3866673984028,"Up"
"hsa-miR-144-5p",-2.49743124231916,7.31024609614794,-14.8126236506515,2.70716415345303e-42,2.13189177084426e-40,85.2579025379323,"Down"
"hsa-miR-146b-3p",5.07581962246148,10.5160625506494,14.0704439067486,7.33509618462673e-39,5.13456732923871e-37,77.4288485716033,"Up"
"hsa-miR-146b-5p",4.9069907681779,12.8966086708503,13.7902306691585,1.37958763239127e-37,8.691402084065e-36,74.493298264946,"Up"
"hsa-miR-181b-5p",1.31754673413568,9.96932410903808,13.6264743776371,7.56176472826555e-37,4.33082888982482e-35,72.8035477829415,"Up"
"hsa-miR-6854-5p",1.9410210268968,0.155969140309367,12.7398674565225,6.29829074724613e-33,3.30660264230422e-31,63.9722011994612,"Up"
"hsa-miR-9-5p",-2.12841427702638,5.95733964835694,-12.5508019724509,4.13850156271459e-32,2.0055815265463e-30,61.9881429394716,"Down"
"hsa-miR-1179",-2.84534853758111,1.035111935562,-12.4963600191473,7.09605892264989e-32,3.19322651519245e-30,61.52435363882,"Down"
"hsa-miR-26a-5p",-0.747990740364015,11.7574082441915,-12.4803234968106,8.31547702513248e-32,3.49250035055564e-30,61.2604550352165,"Stable"
"hsa-miR-181b-2-3p",1.88256713844361,3.7144058668795,12.1997767644864,1.30793184436656e-30,5.14998163719332e-29,58.6597197124703,"Up"
"hsa-miR-181a-2-3p",1.26703366186149,12.0341138736196,12.0672465557979,4.74743817870034e-30,1.75934473681248e-28,57.2562968374444,"Up"
"hsa-miR-1247-5p",-2.60397889082266,0.409008592840061,-11.9735023156127,1.17578413717784e-29,4.11524448012244e-28,56.4823135174487,"Down"
"hsa-miR-4732-3p",-1.97102191128037,-1.07757070202624,-11.7911763051181,6.77915916316203e-29,2.24782645936425e-27,54.7991215454324,"Down"
"hsa-miR-144-3p",-2.03787461224981,3.53436847348037,-11.6903017278072,1.77472578932941e-28,5.59038623638764e-27,53.730298251849,"Down"
"hsa-miR-7-2-3p",-2.80747015257036,0.883079738865213,-11.6658715595502,2.23886711040518e-28,6.71660133121555e-27,53.5500265113847,"Down"
"hsa-miR-181a-5p",1.05290649495011,12.2229562965346,11.6349833571901,3.00202779534526e-28,8.59671595939779e-27,53.1418701214197,"Up"
"hsa-miR-652-3p",-1.09758500770189,4.90711749024254,-11.5627942960706,5.94746442462601e-28,1.62908808152799e-26,52.5211900693719,"Down"
"hsa-miR-363-3p",-1.48799620979948,2.17628895977576,-11.4508542517335,1.70811069912406e-27,4.48379058520065e-26,51.5260265811054,"Down"
"hsa-miR-21-5p",1.37859336173367,16.8820759341356,11.269792523433,9.28539360647098e-27,2.33991918883069e-25,49.7092460389766,"Up"
"hsa-miR-28-3p",-0.887676458834644,10.4700652858122,-11.2572185388168,1.04374007604849e-26,2.52906249196365e-25,49.6259677408317,"Stable"
"hsa-miR-28-5p",-0.649529124917202,5.83518417658303,-10.9729709425281,1.43633918706625e-25,3.35145810315459e-24,47.0785767651632,"Stable"
