miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175938-94175962:+	1	0.134747	N	precursor
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	2	0.269493	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175978:+	1	0.134747	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	11	1.482214	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	19	2.560187	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	42	5.659361	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	259	34.899395	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	10168	1370.104450	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	28248	3806.324795	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	57786	7786.472833	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	1314	177.057164	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	20	2.694934	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	5	0.673734	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	14	1.886454	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	70	9.432269	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	2	0.269493	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	1	0.134747	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	4	0.538987	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	19	2.560187	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	1	0.134747	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	2	0.269493	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	4	0.538987	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175968-94175985:+	1	0.134747	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176006:+	1	0.134747	N	stemloop
hsa-let-7a-1	hg38:chr9:94175984-94176007:+	2	0.269493	N	stemloop
hsa-let-7a-1	hg38:chr9:94176010-94176033:+	1	0.134747	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	12	1.616960	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	61	8.219549	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	41	5.524615	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	3	0.404240	N	mature,MIMAT0004481
