miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175961-94175979:+	1	0.152362	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175980:+	1	0.152362	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	14	2.133062	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	12	1.828339	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	22	3.351955	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175985:+	1	0.152362	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	1649	251.244261	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	34080	5192.482967	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	41919	6386.845466	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	46013	7010.613813	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	698	106.348389	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	8	1.218893	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175981:+	2	0.304723	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	7	1.066531	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	10	1.523616	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	15	2.285424	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	2	0.304723	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	1	0.152362	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	28	4.266125	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	40	6.094464	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	3	0.457085	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175982:+	2	0.304723	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	7	1.066531	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	19	2.894870	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175985:+	2	0.304723	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	2	0.304723	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175989:+	1	0.152362	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176005:+	2	0.304723	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176031:+	3	0.457085	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176032:+	4	0.609446	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	39	5.942102	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	93	14.169628	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	9	1.371254	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	2	0.304723	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176032:+	1	0.152362	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	3	0.457085	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	1	0.152362	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	1	0.152362	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	40	6.094464	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	24	3.656678	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146546:-	1	0.152362	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	15	2.285424	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146546:-	4	0.609446	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146526-122146545:-	3	0.457085	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146527-122146545:-	2	0.304723	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146528-122146545:-	1	0.152362	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146529-122146545:-	1	0.152362	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	8	1.218893	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146583:-	1	0.152362	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	659	100.406287	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146585:-	3	0.457085	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	21	3.199593	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	46	7.008633	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146588:-	1	0.152362	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	16	2.437785	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	46118	7026.611780	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	7	1.066531	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146586:-	11	1.675977	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	26	3.961401	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146588:-	3	0.457085	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	7	1.066531	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	41482	6320.263451	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	10	1.523616	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146586:-	1	0.152362	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146587:-	5	0.761808	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	5	0.761808	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	33887	5163.077180	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	11	1.675977	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	1627	247.892306	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146572-122146591:-	4	0.609446	Y	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146573-122146591:-	1	0.152362	Y	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	10	1.523616	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146611:-	3	0.457085	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	3	0.457085	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112768:+	1	0.152362	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	11	1.675977	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	5	0.761808	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	76	11.579481	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	85	12.950735	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	22	3.351955	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112775:+	1	0.152362	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	1652	251.701346	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	34053	5188.369204	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	41747	6360.639273	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	45793	6977.094263	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	666	101.472819	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112771:+	1	0.152362	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	5	0.761808	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	13	1.980701	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	7	1.066531	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112773:+	3	0.457085	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112774:+	1	0.152362	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112772:+	2	0.304723	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	26	3.961401	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	35	5.332656	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112775:+	1	0.152362	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112773:+	4	0.609446	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	15	2.285424	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112775:+	1	0.152362	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112757-46112774:+	5	0.761808	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112759-46112775:+	2	0.304723	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112818:+	1	0.152362	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112819:+	2	0.304723	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	49	7.465718	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	77	11.731842	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	19	2.894870	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112823:+	1	0.152362	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112822:+	1	0.152362	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	1	0.152362	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112803-46112824:+	1	0.152362	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113671-46113691:+	3	0.457085	N	precursor
hsa-let-7b	hg38:chr22:46113672-46113691:+	2	0.304723	N	precursor
hsa-let-7b	hg38:chr22:46113691-46113708:+	119	18.131029	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	301	45.860838	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	4758	724.936442	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	57943	8828.287575	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	17435	2656.424311	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	21633	3296.038263	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	2572	391.874008	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	4	0.609446	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113710:+	3	0.457085	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	22	3.351955	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113712:+	6	0.914170	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	17	2.590147	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113714:+	1	0.152362	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113693-46113711:+	1	0.152362	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113711:+	4	0.609446	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113712:+	3	0.457085	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	26	3.961401	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	6	0.914170	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113711:+	2	0.304723	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113712:+	3	0.457085	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113713:+	26	3.961401	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113714:+	7	1.066531	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113711:+	7	1.066531	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113713:+	6	0.914170	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113714:+	8	1.218893	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113697-46113713:+	3	0.457085	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113697-46113714:+	3	0.457085	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113698-46113714:+	8	1.218893	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113745-46113762:+	4	0.609446	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113765:+	63	9.598780	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	171	26.053832	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113767:+	1	0.152362	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113746-46113765:+	2	0.304723	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113746-46113766:+	4	0.609446	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539836-16539857:+	2	0.304723	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539858:+	4	0.609446	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539859:+	6	0.914170	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539854:+	1	0.152362	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539855:+	1	0.152362	Y	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539856:+	4	0.609446	Y	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539857:+	55	8.379887	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	140	21.330623	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	111	16.912136	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	51	7.770441	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	3018	459.827277	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	9920	1511.426967	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	6644	1012.290400	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	13891	2116.454838	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	365	55.611980	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539862:+	4	0.609446	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539858:+	3	0.457085	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539859:+	4	0.609446	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539860:+	15	2.285424	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539861:+	1	0.152362	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539859:+	4	0.609446	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539860:+	7	1.066531	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539842-16539858:+	1	0.152362	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539842-16539860:+	9	1.371254	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539843-16539860:+	4	0.609446	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539843-16539861:+	1	0.152362	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539843-16539864:+	1	0.152362	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539844-16539860:+	5	0.761808	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539845-16539861:+	3	0.457085	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539881-16539904:+	1	0.152362	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539901:+	2	0.304723	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539902:+	4	0.609446	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539903:+	11	1.675977	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539904:+	33	5.027932	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539905:+	82	12.493650	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539884-16539904:+	1	0.152362	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539885-16539905:+	1	0.152362	N	mature,MIMAT0026472
hsa-let-7d	hg38:chr9:94178822-94178841:+	1	0.152362	N	precursor
hsa-let-7d	hg38:chr9:94178840-94178861:+	1	0.152362	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178840-94178862:+	1	0.152362	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178857:+	10	1.523616	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178858:+	2	0.304723	N	mature,MIMAT0000065
