miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	1	0.957920	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	4	3.831682	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	4	3.831682	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	79	75.675717	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	2599	2489.635301	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	5288	5065.483443	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	9776	9364.630511	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	225	215.532106	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	4	3.831682	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	1	0.957920	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	1	0.957920	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	5	4.789602	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	1	0.957920	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	3	2.873761	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	3	2.873761	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	14	13.410887	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	6	5.747523	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	1	0.957920	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176006:+	1	0.957920	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176031:+	1	0.957920	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	5	4.789602	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	9	8.621284	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	5	4.789602	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	1	0.957920	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	4	3.831682	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	2	1.915841	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	2	1.915841	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146546:-	1	0.957920	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146567-122146586:-	1	0.957920	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	207	198.289537	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146585:-	1	0.957920	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	2	1.915841	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	17	16.284648	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	2	1.915841	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	9568	9165.383053	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	1	0.957920	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146586:-	3	2.873761	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	9	8.621284	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	5452	5222.582400	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	5	4.789602	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	2502	2396.717015	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	3	2.873761	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	90	86.212842	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146572-122146591:-	1	0.957920	Y	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	2	1.915841	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	10	9.579205	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	16	15.326728	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	12	11.495046	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	112	107.287093	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	2610	2500.172426	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	5468	5237.909128	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	9586	9182.625622	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	194	185.836571	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	1	0.957920	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	2	1.915841	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112773:+	1	0.957920	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112772:+	1	0.957920	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	8	7.663364	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	11	10.537125	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	4	3.831682	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	3	2.873761	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	12	11.495046	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	2	1.915841	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112822:+	2	1.915841	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	1	0.957920	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113691-46113708:+	1	0.957920	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	9	8.621284	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	186	178.173207	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	3977	3809.649708	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	1730	1657.202412	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	3482	3335.479075	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	723	692.576500	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	1	0.957920	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	2	1.915841	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113693-46113714:+	1	0.957920	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	5	4.789602	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	2	1.915841	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113745-46113765:+	4	3.831682	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	20	19.158409	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113768:+	1	0.957920	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539836-16539858:+	1	0.957920	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539856:+	1	0.957920	Y	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539857:+	10	9.579205	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	38	36.400978	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	23	22.032171	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	20	19.158409	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	293	280.670698	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	1257	1204.106030	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	1415	1355.457464	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	4772	4571.196481	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	192	183.920730	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539862:+	1	0.957920	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539860:+	5	4.789602	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539840-16539860:+	1	0.957920	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539859:+	1	0.957920	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539860:+	6	5.747523	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539861:+	1	0.957920	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539842-16539860:+	1	0.957920	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539883-16539903:+	3	2.873761	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539904:+	12	11.495046	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539905:+	14	13.410887	N	mature,MIMAT0026472
hsa-let-7d	hg38:chr9:94178841-94178857:+	1	0.957920	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178858:+	2	1.915841	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178859:+	1	0.957920	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178860:+	1	0.957920	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178861:+	67	64.180671	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178862:+	122	116.866297	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178863:+	269	257.680606	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178864:+	18	17.242568	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178862:+	4	3.831682	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178863:+	5	4.789602	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178895-94178913:+	3	2.873761	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178914:+	2	1.915841	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178915:+	61	58.433149	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178916:+	225	215.532106	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178917:+	375	359.220176	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178916:+	5	4.789602	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178917:+	13	12.452966	N	mature,MIMAT0004484
hsa-let-7e	hg38:chr19:51692774-51692793:+	1	0.957920	N	precursor
hsa-let-7e	hg38:chr19:51692775-51692793:+	1	0.957920	N	precursor
hsa-let-7e	hg38:chr19:51692793-51692810:+	2	1.915841	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692811:+	21	20.116330	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692812:+	6	5.747523	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692813:+	314	300.787027	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692814:+	1214	1162.915450	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692815:+	2336	2237.702217	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692816:+	59	56.517308	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692817:+	10	9.579205	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692794-51692815:+	1	0.957920	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692797-51692815:+	1	0.957920	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692836-51692857:+	1	0.957920	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692836-51692859:+	1	0.957920	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692837-51692858:+	1	0.957920	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692837-51692859:+	1	0.957920	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692858:+	7	6.705443	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692859:+	20	19.158409	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692860:+	26	24.905932	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692839-51692858:+	1	0.957920	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692839-51692860:+	1	0.957920	N	mature,MIMAT0004485
hsa-let-7f-1	hg38:chr9:94176353-94176369:+	5	4.789602	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176370:+	7	6.705443	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176371:+	71	68.012353	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176372:+	46	44.064342	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176373:+	912	873.623468	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176374:+	3920	3755.048241	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176375:+	9755	9344.514181	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176376:+	40	38.316819	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176377:+	2	1.915841	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176354-94176375:+	3	2.873761	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176355-94176377:+	1	0.957920	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176356-94176374:+	4	3.831682	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176356-94176375:+	9	8.621284	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176357-94176375:+	2	1.915841	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176358-94176379:+	8	7.663364	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176358-94176380:+	2	1.915841	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176409-94176429:+	1	0.957920	N	mature,MIMAT0004486
hsa-let-7f-1	hg38:chr9:94176409-94176430:+	5	4.789602	N	mature,MIMAT0004486
hsa-let-7f-1	hg38:chr9:94176430-94176449:+	1	0.957920	N	precursor
hsa-let-7f-2	hg38:chrX:53557198-53557218:-	1	0.957920	N	mature,MIMAT0004487
hsa-let-7f-2	hg38:chrX:53557244-53557268:-	1	0.957920	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557245-53557265:-	1	0.957920	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557245-53557268:-	299	286.418220	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557264:-	1	0.957920	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557265:-	7	6.705443	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557266:-	1	0.957920	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557267:-	1	0.957920	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557268:-	9601	9196.994429	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557269:-	6	5.747523	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557247-53557265:-	2	1.915841	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557247-53557268:-	3944	3778.038332	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557247-53557269:-	7	6.705443	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557248-53557268:-	973	932.056617	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557248-53557269:-	1	0.957920	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557249-53557268:-	37	35.443057	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557250-53557268:-	57	54.601467	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557251-53557268:-	3	2.873761	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557252-53557268:-	3	2.873761	N	mature,MIMAT0000067
hsa-let-7g	hg38:chr3:52268280-52268301:-	58	55.559387	N	mature,MIMAT0004584
hsa-let-7g	hg38:chr3:52268280-52268302:-	1	0.957920	N	mature,MIMAT0004584
hsa-let-7g	hg38:chr3:52268283-52268301:-	1	0.957920	N	mature,MIMAT0004584
hsa-let-7g	hg38:chr3:52268331-52268353:-	1	0.957920	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268335-52268355:-	2	1.915841	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268335-52268358:-	18	17.242568	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268336-52268355:-	11	10.537125	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268336-52268358:-	774	741.430443	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268336-52268359:-	6	5.747523	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268337-52268358:-	192	183.920730	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268337-52268359:-	5	4.789602	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268338-52268358:-	16	15.326728	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268339-52268358:-	4	3.831682	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268340-52268358:-	4	3.831682	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268341-52268358:-	3	2.873761	N	mature,MIMAT0000414
hsa-let-7i	hg38:chr12:62603669-62603691:+	2	1.915841	N	precursor
hsa-let-7i	hg38:chr12:62603671-62603691:+	1	0.957920	N	precursor
hsa-let-7i	hg38:chr12:62603691-62603710:+	11	10.537125	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603691-62603711:+	41	39.274739	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603691-62603712:+	1319	1263.497099	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603691-62603713:+	1000	957.920470	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603691-62603714:+	1156	1107.356063	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603691-62603715:+	3	2.873761	N	mature,MIMAT0000415
