miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175961-94175981:+	1	0.214252	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	4	0.857009	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	7	1.499766	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	18	3.856541	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175985:+	1	0.214252	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	211	45.207230	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	8642	1851.568166	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	17472	3743.415760	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	36077	7729.579348	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	792	169.687802	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	22	4.713550	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	6	1.285514	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	1	0.214252	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	8	1.714018	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	19	4.070793	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	2	0.428505	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	2	0.428505	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	7	1.499766	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	2	0.428505	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176005:+	1	0.214252	N	stemloop
hsa-let-7a-1	hg38:chr9:94175984-94176006:+	3	0.642757	N	stemloop
hsa-let-7a-1	hg38:chr9:94175984-94176007:+	2	0.428505	N	stemloop
hsa-let-7a-1	hg38:chr9:94176008-94176030:+	1	0.214252	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176011-94176034:+	1	0.214252	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176032:+	1	0.214252	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	26	5.570559	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	40	8.570091	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	9	1.928270	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	1	0.214252	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	54	11.569623	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	19	4.070793	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146546:-	3	0.642757	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	14	2.999532	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146546:-	2	0.428505	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146527-122146545:-	1	0.214252	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	14	2.999532	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146583:-	1	0.214252	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146586:-	1	0.214252	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	819	175.472614	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	9	1.928270	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	26	5.570559	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146588:-	1	0.214252	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	4	0.857009	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	36266	7770.073028	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	11	2.356775	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146586:-	2	0.428505	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	6	1.285514	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146588:-	2	0.428505	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	1	0.214252	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	17181	3681.068348	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	5	1.071261	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146587:-	2	0.428505	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	8601	1842.783823	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	2	0.428505	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	238	50.992042	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	2	0.428505	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146611:-	1	0.214252	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	1	0.214252	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146614:-	1	0.214252	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	52	11.141118	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	50	10.712614	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	36	7.713082	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112775:+	1	0.214252	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	219	46.921248	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	8647	1852.639427	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	17256	3697.137268	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	35848	7680.515577	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	782	167.545280	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	3	0.642757	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112777:+	1	0.214252	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	1	0.214252	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	5	1.071261	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112775:+	1	0.214252	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	10	2.142523	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	19	4.070793	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112775:+	1	0.214252	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112772:+	2	0.428505	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112773:+	2	0.428505	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	5	1.071261	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112757-46112774:+	1	0.214252	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112757-46112777:+	1	0.214252	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	17	3.642289	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	47	10.069857	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	11	2.356775	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112821:+	1	0.214252	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	1	0.214252	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112803-46112821:+	1	0.214252	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113690-46113713:+	1	0.214252	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113690-46113714:+	1	0.214252	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113708:+	16	3.428036	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	32	6.856073	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	672	143.977529	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	16311	3494.668868	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	6566	1406.780442	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	16907	3622.363224	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	4248	910.143667	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	1	0.214252	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	5	1.071261	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	4	0.857009	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113711:+	1	0.214252	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113712:+	2	0.428505	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	14	2.999532	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	5	1.071261	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113713:+	3	0.642757	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113714:+	2	0.428505	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113711:+	1	0.214252	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113745-46113765:+	24	5.142055	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	77	16.497425	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113767:+	1	0.214252	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113746-46113766:+	1	0.214252	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539836-16539858:+	6	1.285514	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539859:+	1	0.214252	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539860:+	1	0.214252	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539857:+	16	3.428036	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	101	21.639480	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	69	14.783407	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	75	16.068921	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539861:+	2	0.428505	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	464	99.413056	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	3202	686.035787	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	3094	662.896541	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	12848	2752.713237	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	669	143.334772	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539862:+	7	1.499766	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539859:+	2	0.428505	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539860:+	3	0.642757	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539861:+	3	0.642757	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539858:+	1	0.214252	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539859:+	1	0.214252	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539860:+	8	1.714018	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539861:+	2	0.428505	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539842-16539860:+	1	0.214252	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539883-16539903:+	9	1.928270	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539904:+	38	8.141586	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539905:+	134	28.709805	N	mature,MIMAT0026472
hsa-let-7d	hg38:chr9:94178840-94178862:+	1	0.214252	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178840-94178863:+	1	0.214252	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178857:+	1	0.214252	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178858:+	1	0.214252	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178859:+	4	0.857009	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178860:+	1	0.214252	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178861:+	177	37.922653	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178862:+	344	73.702783	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178863:+	950	203.539662	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178864:+	64	13.712146	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178862:+	4	0.857009	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178863:+	16	3.428036	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178864:+	5	1.071261	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178843-94178863:+	1	0.214252	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178844-94178863:+	2	0.428505	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178848-94178863:+	1	0.214252	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178895-94178915:+	228	48.849519	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178916:+	760	162.831729	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178917:+	1759	376.869753	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178918:+	4	0.857009	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178915:+	10	2.142523	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178916:+	21	4.499298	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178917:+	78	16.711677	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178898-94178917:+	1	0.214252	N	mature,MIMAT0004484
hsa-let-7e	hg38:chr19:51692793-51692810:+	7	1.499766	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692811:+	11	2.356775	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692812:+	55	11.783875	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692813:+	658	140.977997	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692814:+	1404	300.810195	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692815:+	3226	691.177841	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692816:+	130	27.852796	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692817:+	17	3.642289	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692794-51692814:+	1	0.214252	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692794-51692816:+	2	0.428505	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692794-51692817:+	1	0.214252	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692798-51692819:+	1	0.214252	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692815-51692838:+	2	0.428505	N	stemloop
hsa-let-7e	hg38:chr19:51692835-51692856:+	1	0.214252	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692835-51692859:+	1	0.214252	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692836-51692858:+	1	0.214252	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692837-51692858:+	1	0.214252	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692837-51692859:+	2	0.428505	N	mature,MIMAT0004485
