miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	7	0.893101	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	14	1.786203	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	20	2.551719	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175985:+	2	0.255172	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	426	54.351605	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	10642	1357.769441	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	29572	3772.971049	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	49917	6368.706744	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	1122	143.151411	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	29	3.699992	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	6	0.765516	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	24	3.062062	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	55	7.017226	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	1	0.127586	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	1	0.127586	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	1	0.127586	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	57	7.272398	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	116	14.799968	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	5	0.637930	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	21	2.679304	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	65	8.293085	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175985:+	5	0.637930	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175988:+	1	0.127586	N	mature,MIMAT0000062
