miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	1	0.170914	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	7	1.196395	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	8	1.367309	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	26	4.443753	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175985:+	1	0.170914	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	531	90.755113	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	13673	2336.901439	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	28044	4793.100560	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	48324	8259.228052	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	872	149.036646	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	17	2.905531	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	2	0.341827	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	4	0.683654	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	11	1.880049	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	2	0.341827	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	2	0.341827	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	10	1.709136	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	20	3.418272	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	2	0.341827	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	1	0.170914	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	7	1.196395	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	1	0.170914	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175989:+	1	0.170914	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176006:+	1	0.170914	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176032:+	1	0.170914	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	40	6.836543	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	71	12.134864	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	23	3.931012	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	1	0.170914	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	3	0.512741	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176036:+	1	0.170914	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176037:+	1	0.170914	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146522-122146545:-	1	0.170914	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	61	10.425729	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	24	4.101926	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146546:-	1	0.170914	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	23	3.931012	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146546:-	3	0.512741	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146526-122146545:-	2	0.341827	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146527-122146545:-	1	0.170914	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146527-122146546:-	1	0.170914	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146527-122146548:-	1	0.170914	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	14	2.392790	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146585:-	1	0.170914	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146586:-	1	0.170914	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	2	0.341827	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	878	150.062127	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146585:-	1	0.170914	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	12	2.050963	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	17	2.905531	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146588:-	2	0.341827	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	10	1.709136	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	48463	8282.985040	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	8	1.367309	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	8	1.367309	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146588:-	1	0.170914	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	1	0.170914	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	27649	4725.589695	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	14	2.392790	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146586:-	1	0.170914	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	5	0.854568	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	13386	2287.849241	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	9	1.538222	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146589:-	1	0.170914	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	501	85.627706	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146591:-	1	0.170914	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146572-122146591:-	1	0.170914	Y	mature,MIMAT0000062
