miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175943-94175962:+	1	0.210734	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	10	2.107335	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	16	3.371737	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	9	1.896602	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	1004	211.576479	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	23172	4883.117693	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	50476	10636.986392	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	68828	14504.368401	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	623	131.286998	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	8	1.685868	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175981:+	1	0.210734	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	20	4.214671	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	49	10.325944	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	113	23.812891	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	1	0.210734	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	3	0.632201	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	2	0.421467	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	2	0.421467	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	40	8.429342	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	54	11.379611	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	4	0.842934	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	6	1.264401	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	19	4.003937	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	4	0.842934	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176005:+	1	0.210734	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176031:+	1	0.210734	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176032:+	1	0.210734	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	18	3.793204	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	37	7.797141	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	8	1.685868	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	1	0.210734	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	12	2.528803	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	9	1.896602	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146546:-	1	0.210734	N	mature,MIMAT0010195
