miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	8	1.607188	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	13	2.611680	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	20	4.017970	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	504	101.252843	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	15893	3192.879836	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	28197	5664.734961	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	49646	9973.806854	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	908	182.415837	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	16	3.214376	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	4	0.803594	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	9	1.808086	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	28	5.625158	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	1	0.200898	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	7	1.406289	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	5	1.004492	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	4	0.803594	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	59	11.853011	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	121	24.308718	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	5	1.004492	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	4	0.803594	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	49	9.844026	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175985:+	1	0.200898	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	6	1.205391	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175985:+	1	0.200898	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175989:+	1	0.200898	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176006:+	2	0.401797	N	stemloop
hsa-let-7a-1	hg38:chr9:94175984-94176007:+	1	0.200898	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176031:+	1	0.200898	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176032:+	1	0.200898	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	20	4.017970	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	30	6.026955	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	9	1.808086	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	2	0.401797	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	8	1.607188	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	3	0.602695	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146546:-	1	0.200898	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	2	0.401797	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	11	2.209883	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146586:-	2	0.401797	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	4	0.803594	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	841	168.955637	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146585:-	4	0.803594	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	33	6.629650	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	138	27.723993	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146588:-	8	1.607188	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	31	6.227853	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	49735	9991.686820	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	5	1.004492	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146586:-	4	0.803594	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	49	9.844026	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146588:-	4	0.803594	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	6	1.205391	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	28503	5726.209901	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	7	1.406289	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146587:-	1	0.200898	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	1	0.200898	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	15793	3172.789986	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	2	0.401797	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146589:-	1	0.200898	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	511	102.659133	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146572-122146591:-	1	0.200898	Y	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146611:-	2	0.401797	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	4	0.803594	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	3	0.602695	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	60	12.053910	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	108	21.697038	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	41	8.236838	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	501	100.650148	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	15654	3144.865095	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	28608	5747.304243	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	50125	10070.037235	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	906	182.014040	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	2	0.401797	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	3	0.602695	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	1	0.200898	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	27	5.424259	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112773:+	4	0.803594	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112774:+	5	1.004492	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112772:+	1	0.200898	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	40	8.035940	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	129	25.915906	N	mature,MIMAT0000062
