miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	2	0.098536	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175980:+	2	0.098536	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175981:+	2	0.098536	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	52	2.561945	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	65	3.202432	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	53	2.611213	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	1846	90.949056	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	55851	2751.677003	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	95135	4687.128102	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	115604	5695.598435	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	1752	86.317848	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	23	1.133168	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	10	0.492682	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	18	0.886827	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	51	2.512677	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	7	0.344877	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175982:+	1	0.049268	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	6	0.295609	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	8	0.394145	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	6	0.295609	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	67	3.300968	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	135	6.651204	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	2	0.098536	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	9	0.443414	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	37	1.822923	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	4	0.197073	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175989:+	1	0.049268	N	mature,MIMAT0000062
