miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175961:+	1	0.158435	N	precursor
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	5	0.792176	N	precursor
hsa-let-7a-1	hg38:chr9:94175943-94175962:+	1	0.158435	N	precursor
hsa-let-7a-1	hg38:chr9:94175944-94175962:+	1	0.158435	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175981:+	1	0.158435	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	6	0.950611	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	29	4.594619	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	51	8.080192	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175985:+	1	0.158435	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	826	130.867428	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	18945	3001.553773	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	70306	11138.941124	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	126000	19962.827947	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	2266	359.014033	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	28	4.436184	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175981:+	1	0.158435	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	1	0.158435	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	8	1.267481	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	28	4.436184	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	1	0.158435	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	2	0.316870	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	2	0.316870	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	5	0.792176	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	7	1.109046	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	1	0.158435	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175982:+	1	0.158435	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	2	0.316870	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	4	0.633741	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175989:+	1	0.158435	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175990:+	2	0.316870	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175969-94175985:+	1	0.158435	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176005:+	1	0.158435	N	stemloop
hsa-let-7a-1	hg38:chr9:94175984-94176006:+	3	0.475305	N	stemloop
hsa-let-7a-1	hg38:chr9:94176010-94176033:+	1	0.158435	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176030:+	1	0.158435	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176031:+	3	0.475305	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176032:+	2	0.316870	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	33	5.228360	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	59	9.347673	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	13	2.059657	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	1	0.158435	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	1	0.158435	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146522-122146545:-	2	0.316870	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	41	6.495841	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	21	3.327138	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146546:-	3	0.475305	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146547:-	1	0.158435	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	8	1.267481	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146546:-	2	0.316870	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146526-122146546:-	2	0.316870	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146526-122146548:-	1	0.158435	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146527-122146548:-	1	0.158435	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146545-122146568:-	1	0.158435	N	stemloop
hsa-let-7a-2	hg38:chr11:122146547-122146568:-	1	0.158435	N	stemloop
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	17	2.693397	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	1	0.158435	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	2199	348.398878	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146585:-	1	0.158435	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	3	0.475305	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	11	1.742787	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146588:-	1	0.158435	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	34	5.386795	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	125612	19901.355112	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	18	2.851833	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146586:-	3	0.475305	N	mature,MIMAT0000062
