miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	1	0.155123	N	precursor
hsa-let-7a-1	hg38:chr9:94175943-94175962:+	1	0.155123	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	10	1.551234	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	21	3.257592	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	30	4.653703	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175985:+	1	0.155123	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	313	48.553637	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	10844	1682.158586	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	27324	4238.592881	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	55689	8638.669264	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	1225	190.026214	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	27	4.188333	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	1	0.155123	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	1	0.155123	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	7	1.085864	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	1	0.155123	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	9	1.396111	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	18	2.792222	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	2	0.310247	N	mature,MIMAT0000062
