miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	1	0.110445	N	precursor
hsa-let-7a-1	hg38:chr9:94175943-94175962:+	1	0.110445	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	12	1.325341	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	33	3.644687	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	49	5.411808	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175985:+	2	0.220890	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	1069	118.065776	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	20400	2253.079346	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	91572	10113.675584	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	187364	20693.429347	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	3280	362.259816	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	49	5.411808	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175987:+	1	0.110445	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	1	0.110445	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	12	1.325341	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	41	4.528248	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	2	0.220890	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	2	0.220890	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	2	0.220890	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	9	0.994006	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	26	2.871572	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	1	0.110445	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175982:+	1	0.110445	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	2	0.220890	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	10	1.104451	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	1	0.110445	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175985:+	1	0.110445	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175988:+	2	0.220890	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175989:+	1	0.110445	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176008:+	1	0.110445	N	stemloop
