miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	2	0.324732	N	precursor
hsa-let-7a-1	hg38:chr9:94175943-94175962:+	1	0.162366	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175978:+	1	0.162366	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175980:+	1	0.162366	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175981:+	1	0.162366	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	12	1.948395	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	12	1.948395	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	8	1.298930	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175985:+	1	0.162366	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	1870	303.624859	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	42238	6858.025016	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	35525	5768.060483	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	32937	5347.856668	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	595	96.607910	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	17	2.760226	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175987:+	2	0.324732	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175981:+	1	0.162366	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	7	1.136564	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	3	0.487099	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	19	3.084958	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175982:+	1	0.162366	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	1	0.162366	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	1	0.162366	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	4	0.649465	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	26	4.221522	N	mature,MIMAT0000062
