miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	1	0.122418	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	6	0.734508	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	16	1.958688	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	40	4.896720	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	163	19.954132	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	6992	855.946589	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	16787	2055.030804	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	48207	5901.404061	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	1322	161.836583	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	31	3.794958	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	4	0.489672	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	19	2.325942	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	88	10.772783	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	8	0.979344	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	6	0.734508	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	21	2.570778	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	1	0.122418	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	1	0.122418	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	9	1.101762	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	1	0.122418	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175988:+	1	0.122418	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175991:+	1	0.122418	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176006:+	3	0.367254	N	stemloop
hsa-let-7a-1	hg38:chr9:94175984-94176007:+	2	0.244836	N	stemloop
hsa-let-7a-1	hg38:chr9:94175984-94176008:+	1	0.122418	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176031:+	1	0.122418	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176032:+	1	0.122418	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	57	6.977825	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	216	26.442286	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	103	12.609053	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176033:+	1	0.122418	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	3	0.367254	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	5	0.612090	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	3	0.367254	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176035:+	1	0.122418	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146522-122146545:-	3	0.367254	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	113	13.833233	N	mature,MIMAT0010195
