miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	1	0.207380	N	precursor
hsa-let-7a-1	hg38:chr9:94175943-94175962:+	1	0.207380	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175980:+	2	0.414760	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175981:+	1	0.207380	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	10	2.073802	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	16	3.318083	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	11	2.281182	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	1188	246.367633	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	25624	5313.909278	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	30656	6357.446254	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	26053	5402.875367	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	293	60.762388	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	6	1.244281	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	4	0.829521	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	6	1.244281	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	9	1.866421	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	2	0.414760	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	3	0.622140	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	4	0.829521	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	63	13.064950	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	99	20.530636	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	5	1.036901	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	8	1.659041	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	30	6.221405	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175985:+	2	0.414760	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	9	1.866421	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176005:+	1	0.207380	N	stemloop
