miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175937-94175962:+	1	0.165219	N	precursor
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	4	0.660875	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	10	1.652188	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	30	4.956565	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	41	6.773972	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175985:+	1	0.165219	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	720	118.957555	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	15219	2514.465321	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	79072	13064.183053	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	169026	27926.277377	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	3196	528.039370	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	34	5.617440	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	4	0.660875	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	33	5.452221	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	1	0.165219	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	9	1.486969	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	20	3.304377	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	1	0.165219	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	9	1.486969	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	1	0.165219	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175989:+	1	0.165219	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175968-94175985:+	1	0.165219	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176005:+	1	0.165219	N	stemloop
hsa-let-7a-1	hg38:chr9:94175984-94176006:+	3	0.495656	N	stemloop
hsa-let-7a-1	hg38:chr9:94175984-94176007:+	1	0.165219	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	7	1.156532	N	mature,MIMAT0004481
