miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175943-94175962:+	1	0.200178	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175978:+	1	0.200178	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175981:+	1	0.200178	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	3	0.600534	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	20	4.003561	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	22	4.403917	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	609	121.908425	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	11608	2323.666669	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	53918	10793.199472	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	98769	19771.384670	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	1955	391.348065	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	35	7.006231	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	1	0.200178	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	5	1.000890	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	9	1.801602	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	1	0.200178	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	3	0.600534	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	7	1.401246	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	18	3.603205	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175982:+	1	0.200178	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	2	0.400356	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	7	1.401246	N	mature,MIMAT0000062
