miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175961-94175978:+	1	0.182216	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175981:+	1	0.182216	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	11	2.004381	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	12	2.186598	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	8	1.457732	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	724	131.924727	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	15110	2753.290921	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	26171	4768.787338	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	36880	6720.143557	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	492	89.650505	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	4	0.728866	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	18	3.279897	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	16	2.915464	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	41	7.470875	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	1	0.182216	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	2	0.364433	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	1	0.182216	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	1	0.182216	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	80	14.577318	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	186	33.892264	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	3	0.546649	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175982:+	1	0.182216	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	24	4.373195	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	86	15.670617	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175985:+	7	1.275515	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	5	0.911082	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175989:+	1	0.182216	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175969-94175985:+	1	0.182216	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176005:+	1	0.182216	N	stemloop
hsa-let-7a-1	hg38:chr9:94175984-94176006:+	1	0.182216	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176031:+	1	0.182216	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176032:+	2	0.364433	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	30	5.466494	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	101	18.403864	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	21	3.826546	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176033:+	1	0.182216	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	2	0.364433	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176034:+	1	0.182216	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176016-94176034:+	1	0.182216	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	7	1.275515	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	8	1.457732	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	6	1.093299	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146586:-	4	0.728866	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	8	1.457732	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146588:-	1	0.182216	N	mature,MIMAT0000062
