miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	6	2.271534	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	4	1.514356	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	4	1.514356	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	327	123.798595	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	9498	3595.838096	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	11305	4279.948376	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	12722	4816.408955	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	160	60.574236	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	3	1.135767	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	4	1.514356	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	5	1.892945	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	15	5.678835	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	2	0.757178	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	2	0.757178	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	36	13.629203	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	66	24.986872	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	1	0.378589	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	14	5.300246	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	43	16.279326	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175985:+	1	0.378589	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	1	0.378589	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175989:+	1	0.378589	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176006:+	1	0.378589	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176031:+	3	1.135767	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	25	9.464724	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	39	14.764970	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	4	1.514356	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	1	0.378589	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	1	0.378589	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	4	1.514356	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	4	1.514356	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	1	0.378589	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146527-122146545:-	1	0.378589	N	mature,MIMAT0010195
