miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	2	0.299188	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175980:+	2	0.299188	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	14	2.094318	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	15	2.243912	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	15	2.243912	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	624	93.346755	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	17809	2664.122369	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	29168	4363.362416	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	39780	5950.855626	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	684	102.322404	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	12	1.795130	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	1	0.149594	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	2	0.299188	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	11	1.645536	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175982:+	1	0.149594	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	3	0.448782	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	3	0.448782	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	2	0.299188	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	35	5.235796	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	103	15.408198	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	1	0.149594	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	5	0.747971	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	23	3.440666	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175985:+	1	0.149594	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	4	0.598377	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175989:+	1	0.149594	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176006:+	1	0.149594	N	stemloop
hsa-let-7a-1	hg38:chr9:94175984-94176007:+	1	0.149594	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176031:+	1	0.149594	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176032:+	1	0.149594	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	17	2.543101	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	41	6.133360	N	mature,MIMAT0004481
