miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	3	0.839950	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	8	2.239867	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	8	2.239867	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	7	1.959884	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	824	230.706342	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	17436	4881.790998	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	36966	10349.867288	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	42735	11965.091667	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	616	172.469790	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	10	2.799834	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	2	0.559967	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	6	1.679901	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	10	2.799834	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175982:+	1	0.279983	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	7	1.959884	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	3	0.839950	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	1	0.279983	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	28	7.839536	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	41	11.479320	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	1	0.279983	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	7	1.959884	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	13	3.639785	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175985:+	2	0.559967	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	5	1.399917	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175988:+	1	0.279983	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175989:+	1	0.279983	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176006:+	1	0.279983	N	stemloop
hsa-let-7a-1	hg38:chr9:94176007-94176028:+	1	0.279983	N	mature,MIMAT0004481
