miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	1	0.169147	N	precursor
hsa-let-7a-1	hg38:chr9:94175943-94175962:+	1	0.169147	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175980:+	1	0.169147	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	5	0.845737	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	23	3.890388	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	13	2.198915	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	606	102.503279	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	18634	3151.891253	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	32319	5466.672395	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	43661	7385.141355	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	614	103.856458	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	6	1.014884	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175987:+	1	0.169147	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	3	0.507442	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	6	1.014884	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	10	1.691473	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	2	0.338295	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	43	7.273335	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	72	12.178607	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	3	0.507442	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175982:+	1	0.169147	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	1	0.169147	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	15	2.537210	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175985:+	2	0.338295	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	2	0.338295	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175988:+	1	0.169147	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176005:+	1	0.169147	N	stemloop
hsa-let-7a-1	hg38:chr9:94175984-94176008:+	1	0.169147	N	stemloop
hsa-let-7a-1	hg38:chr9:94176001-94176022:+	1	0.169147	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	31	5.243567	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	46	7.780777	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	19	3.213799	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	1	0.169147	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176033:+	1	0.169147	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	2	0.338295	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	4	0.676589	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	1	0.169147	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176035:+	1	0.169147	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146522-122146545:-	1	0.169147	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	31	5.243567	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	9	1.522326	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	4	0.676589	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146527-122146545:-	1	0.169147	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146562-122146585:-	1	0.169147	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	2	0.338295	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146585:-	1	0.169147	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146586:-	2	0.338295	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	3	0.507442	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146589:-	1	0.169147	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	673	113.836150	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146585:-	2	0.338295	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	17	2.875505	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	84	14.208375	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146588:-	1	0.169147	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	15	2.537210	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	43917	7428.443070	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	6	1.014884	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146586:-	7	1.184031	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	46	7.780777	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146588:-	4	0.676589	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	5	0.845737	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	32218	5449.588515	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	2	0.338295	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	1	0.169147	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	18451	3120.937293	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	6	1.014884	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	645	109.100025	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146572-122146591:-	3	0.507442	Y	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146585-122146605:-	1	0.169147	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	5	0.845737	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	1	0.169147	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	7	1.184031	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	4	0.676589	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	62	10.487134	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	92	15.561554	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	26	4.397830	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	654	110.622351	N	mature,MIMAT0000062
