miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	4	1.858875	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	3	1.394156	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	3	1.394156	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	197	91.549600	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	4987	2317.552568	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	7572	3518.850620	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	9825	4565.862037	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	102	47.401316	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	1	0.464719	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	4	1.858875	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	10	4.647188	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	3	1.394156	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	2	0.929438	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	29	13.476845	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	48	22.306502	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	14	6.506063	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	37	17.194595	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175985:+	2	0.929438	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	1	0.464719	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176007:+	1	0.464719	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176031:+	1	0.464719	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	6	2.788313	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	13	6.041344	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	4	1.858875	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	1	0.464719	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	4	1.858875	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	4	1.858875	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146546:-	1	0.464719	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146567-122146586:-	2	0.929438	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	1	0.464719	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	119	55.301535	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146585:-	2	0.929438	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	60	27.883127	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	53	24.630095	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	4	1.858875	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	9651	4485.000969	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146586:-	8	3.717750	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	29	13.476845	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146588:-	2	0.929438	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	5	2.323594	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	7623	3542.551278	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	2	0.929438	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146587:-	1	0.464719	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	1	0.464719	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	4767	2215.314436	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	1	0.464719	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	219	101.773413	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146572-122146591:-	2	0.929438	Y	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	3	1.394156	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112768:+	1	0.464719	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	1	0.464719	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	2	0.929438	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	14	6.506063	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	21	9.759094	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	4	1.858875	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	209	97.126226	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	4979	2313.834818	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	7404	3440.777865	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	9913	4606.757290	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	122	56.695691	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	1	0.464719	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	4	1.858875	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	9	4.182469	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	10	4.647188	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112772:+	1	0.464719	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	30	13.941563	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	47	21.841783	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112772:+	1	0.464719	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112773:+	13	6.041344	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	41	19.053470	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112775:+	1	0.464719	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112757-46112775:+	2	0.929438	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	9	4.182469	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	20	9.294376	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	6	2.788313	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112821:+	1	0.464719	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112822:+	2	0.929438	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112803-46112825:+	1	0.464719	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113690-46113707:+	1	0.464719	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113708:+	4	1.858875	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	17	7.900219	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	315	146.386416	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	4158	1932.300697	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	1064	494.460784	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	1868	868.094686	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	231	107.350039	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	3	1.394156	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113712:+	2	0.929438	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	1	0.464719	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113714:+	1	0.464719	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113712:+	1	0.464719	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	9	4.182469	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	2	0.929438	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113713:+	5	2.323594	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113745-46113765:+	9	4.182469	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	36	16.729876	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113746-46113766:+	2	0.929438	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539836-16539858:+	1	0.464719	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539854:+	1	0.464719	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539856:+	2	0.929438	Y	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539857:+	7	3.253031	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	18	8.364938	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	21	9.759094	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	12	5.576625	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539861:+	1	0.464719	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	329	152.892479	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	1167	542.326819	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	958	445.200594	N	mature,MIMAT0000064
