miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	3	0.405129	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175980:+	4	0.540172	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	27	3.646161	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	27	3.646161	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	12	1.620516	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	1573	212.422632	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	44120	5958.096969	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	57237	7729.455943	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	62939	8499.471104	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	717	96.825828	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	6	0.810258	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	15	2.025645	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	24	3.241032	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	42	5.671806	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	3	0.405129	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175982:+	1	0.135043	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	5	0.675215	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	6	0.810258	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175985:+	2	0.270086	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	3	0.405129	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	92	12.423956	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	158	21.336793	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	2	0.270086	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	27	3.646161	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	77	10.398311	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175985:+	5	0.675215	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	6	0.810258	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175985:+	1	0.135043	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176006:+	2	0.270086	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176031:+	1	0.135043	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176032:+	6	0.810258	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	69	9.317967	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	124	16.745331	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	29	3.916247	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	3	0.405129	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176035:+	1	0.135043	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	23	3.105989	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	12	1.620516	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146546:-	1	0.135043	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	5	0.675215	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146546:-	1	0.135043	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146528-122146545:-	1	0.135043	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	7	0.945301	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146586:-	4	0.540172	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	2	0.270086	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146589:-	5	0.675215	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	708	95.610441	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146585:-	5	0.675215	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	58	7.832494	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	150	20.256449	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146588:-	6	0.810258	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	59	7.967537	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	63444	8567.667817	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	7	0.945301	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146586:-	18	2.430774	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	96	12.964128	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146588:-	3	0.405129	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	22	2.970946	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	56718	7659.368628	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	21	2.835903	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146587:-	7	0.945301	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	20	2.700860	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	44235	5973.626913	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	7	0.945301	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146589:-	1	0.135043	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	1667	225.116674	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146591:-	1	0.135043	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146572-122146591:-	2	0.270086	Y	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146573-122146591:-	1	0.135043	Y	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	2	0.270086	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146611:-	1	0.135043	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	3	0.405129	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	7	0.945301	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	3	0.405129	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	101	13.639343	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	100	13.504300	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	30	4.051290	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	1640	221.470513	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	44423	5999.014996	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	57131	7715.141385	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	63416	8563.886613	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	716	96.690785	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	25	3.376075	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	28	3.781204	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	51	6.887193	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112775:+	2	0.270086	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112772:+	1	0.135043	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112773:+	6	0.810258	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112774:+	9	1.215387	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112772:+	5	0.675215	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	98	13.234214	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	171	23.092352	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112775:+	7	0.945301	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112773:+	29	3.916247	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	53	7.157279	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112757-46112774:+	5	0.675215	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112757-46112775:+	1	0.135043	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112819:+	3	0.405129	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	72	9.723096	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	113	15.259859	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	39	5.266677	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112820:+	2	0.270086	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112821:+	2	0.270086	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112822:+	2	0.270086	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	2	0.270086	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113672-46113691:+	3	0.405129	N	precursor
hsa-let-7b	hg38:chr22:46113673-46113691:+	1	0.135043	N	precursor
hsa-let-7b	hg38:chr22:46113674-46113691:+	1	0.135043	N	precursor
hsa-let-7b	hg38:chr22:46113690-46113707:+	1	0.135043	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113708:+	38	5.131634	N	mature,MIMAT0000063
