miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175943-94175962:+	1	0.145149	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	31	4.499616	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	38	5.515658	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	38	5.515658	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	862	125.118351	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	24836	3604.918051	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	51588	7487.941392	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	74416	10801.400455	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	1405	203.934203	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	17	2.467531	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	9	1.306340	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	34	4.935063	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	71	10.305572	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	2	0.290298	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	4	0.580596	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	3	0.435447	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	1	0.145149	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	63	9.144381	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	101	14.660039	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	4	0.580596	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175982:+	1	0.145149	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	10	1.451489	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	29	4.209318	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175985:+	2	0.290298	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	2	0.290298	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175969-94175985:+	1	0.145149	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176005:+	3	0.435447	N	stemloop
hsa-let-7a-1	hg38:chr9:94175984-94176007:+	1	0.145149	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176031:+	2	0.290298	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	31	4.499616	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	113	16.401826	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	32	4.644765	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	2	0.290298	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	7	1.016042	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	2	0.290298	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176037:+	1	0.145149	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	29	4.209318	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	23	3.338425	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146546:-	2	0.290298	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	3	0.435447	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146547-122146568:-	1	0.145149	N	stemloop
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	22	3.193276	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146586:-	2	0.290298	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	5	0.725744	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146589:-	3	0.435447	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	1470	213.368881	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146585:-	4	0.580596	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	23	3.338425	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	120	17.417868	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146588:-	7	1.016042	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	62	8.999232	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	74169	10765.548677	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	12	1.741787	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146586:-	18	2.612680	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	61	8.854083	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146588:-	12	1.741787	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	26	3.773871	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	51433	7465.443313	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	18	2.612680	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	12	1.741787	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	24577	3567.324486	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	7	1.016042	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	762	110.603461	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146591:-	1	0.145149	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146572-122146591:-	5	0.725744	Y	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	3	0.435447	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146611:-	2	0.290298	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	1	0.145149	N	precursor
hsa-let-7a-3	hg38:chr22:46112750-46112772:+	1	0.145149	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	7	1.016042	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	109	15.821230	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	190	27.578291	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	47	6.821998	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	811	117.715757	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	24134	3503.023524	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	51652	7497.230922	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	74315	10786.740416	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	1362	197.692800	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	3	0.435447	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	17	2.467531	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	30	4.354467	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	71	10.305572	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112775:+	3	0.435447	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112773:+	7	1.016042	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112774:+	7	1.016042	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112772:+	2	0.290298	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	66	9.579827	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	90	13.063401	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112775:+	4	0.580596	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112772:+	1	0.145149	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112773:+	11	1.596638	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	33	4.789914	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112775:+	2	0.290298	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112757-46112774:+	5	0.725744	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112757-46112775:+	2	0.290298	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112799-46112821:+	1	0.145149	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112818:+	1	0.145149	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	37	5.370509	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	109	15.821230	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	24	3.483574	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112820:+	1	0.145149	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112821:+	1	0.145149	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112822:+	1	0.145149	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	1	0.145149	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112822:+	1	0.145149	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112823:+	1	0.145149	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113691-46113708:+	23	3.338425	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	67	9.724976	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	1713	248.640064	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	43342	6291.043573	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	19347	2808.195745	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	28815	4182.465520	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	4457	646.928642	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113710:+	2	0.290298	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	34	4.935063	N	mature,MIMAT0000063
