miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175938-94175961:+	1	0.162517	N	precursor
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	5	0.812583	N	precursor
hsa-let-7a-1	hg38:chr9:94175943-94175961:+	1	0.162517	N	precursor
hsa-let-7a-1	hg38:chr9:94175943-94175962:+	1	0.162517	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175978:+	1	0.162517	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175980:+	2	0.325033	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	15	2.437750	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	17	2.762784	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	10	1.625167	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	767	124.650305	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	18899	3071.403010	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	28883	4693.969688	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	34004	5526.217681	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	387	62.893961	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	4	0.650067	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	5	0.812583	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	9	1.462650	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	29	4.712984	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	1	0.162517	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175982:+	1	0.162517	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	4	0.650067	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	2	0.325033	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	51	8.288351	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	101	16.414186	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	2	0.325033	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	8	1.300134	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	35	5.688084	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175985:+	1	0.162517	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	5	0.812583	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176009-94176031:+	1	0.162517	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176031:+	2	0.325033	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176032:+	1	0.162517	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	41	6.663184	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	80	13.001336	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	10	1.625167	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	6	0.975100	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176037:+	1	0.162517	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176036:+	1	0.162517	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	19	3.087817	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	10	1.625167	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	6	0.975100	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146526-122146545:-	1	0.162517	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146527-122146545:-	4	0.650067	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146527-122146546:-	1	0.162517	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146546-122146568:-	1	0.162517	N	stemloop
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	5	0.812583	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146586:-	1	0.162517	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	1	0.162517	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	410	66.631845	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146585:-	9	1.462650	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	26	4.225434	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	102	16.576703	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146588:-	5	0.812583	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	22	3.575367	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	34253	5566.684338	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	5	0.812583	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146586:-	6	0.975100	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	39	6.338151	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	17	2.762784	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	28826	4684.706236	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	7	1.137617	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146586:-	1	0.162517	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146588:-	1	0.162517	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	7	1.137617	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	18626	3027.035952	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	3	0.487550	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146589:-	1	0.162517	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	739	120.099837	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146573-122146591:-	1	0.162517	Y	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	15	2.437750	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146611:-	5	0.812583	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	9	1.462650	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112768:+	1	0.162517	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	2	0.325033	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	4	0.650067	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	48	7.800801	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	66	10.726102	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	20	3.250334	N	mature,MIMAT0000062
