miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175940-94175962:+	1	0.145081	N	precursor
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	2	0.290161	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175981:+	1	0.145081	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	1	0.145081	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	8	1.160645	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	8	1.160645	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	556	80.664794	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	13316	1931.892799	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	22598	3278.530601	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	28949	4199.937267	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	465	67.462463	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	2	0.290161	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175981:+	1	0.145081	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	8	1.160645	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	36	5.222900	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	65	9.430237	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	1	0.145081	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	1	0.145081	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	10	1.450806	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	32	4.642578	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	2	0.290161	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	2	0.290161	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	19	2.756531	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	3	0.435242	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175989:+	1	0.145081	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176031:+	2	0.290161	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	15	2.176208	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	37	5.367981	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	7	1.015564	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	1	0.145081	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	21	3.046692	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	10	1.450806	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	15	2.176208	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146526-122146545:-	1	0.145081	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146528-122146548:-	1	0.145081	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	10	1.450806	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146585:-	1	0.145081	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146586:-	1	0.145081	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	1	0.145081	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146589:-	3	0.435242	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	470	68.187865	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146585:-	1	0.145081	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	13	1.886047	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	26	3.772095	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	63	9.140076	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	29450	4272.622630	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	4	0.580322	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146586:-	1	0.145081	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	8	1.160645	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	40	5.803223	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	22221	3223.835228	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	5	0.725403	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	10	1.450806	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	13238	1920.576515	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	4	0.580322	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146589:-	1	0.145081	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	505	73.265685	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146572-122146591:-	2	0.290161	Y	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146585-122146604:-	1	0.145081	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	9	1.305725	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146611:-	1	0.145081	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	4	0.580322	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112769:+	1	0.145081	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	8	1.160645	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	2	0.290161	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	54	7.834350	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	95	13.782654	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	25	3.627014	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	493	71.524718	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	13432	1948.722145	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	22325	3238.923607	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	28962	4201.823315	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	461	66.882140	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	1	0.145081	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112781:+	1	0.145081	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	8	1.160645	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	29	4.207336	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	57	8.269592	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112775:+	1	0.145081	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112774:+	1	0.145081	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	13	1.886047	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	33	4.787659	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112773:+	2	0.290161	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	16	2.321289	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112759-46112775:+	1	0.145081	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112818:+	1	0.145081	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	19	2.756531	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	32	4.642578	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	10	1.450806	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112823:+	1	0.145081	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112821:+	2	0.290161	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112822:+	3	0.435242	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	3	0.435242	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113691-46113708:+	35	5.077820	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	149	21.617004	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	2048	297.124996	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	28185	4089.095716	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	11721	1700.489299	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	17818	2585.045502	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	2539	368.359554	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113709:+	2	0.290161	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113710:+	2	0.290161	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	23	3.336853	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113712:+	21	3.046692	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	53	7.689270	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113714:+	9	1.305725	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113693-46113710:+	1	0.145081	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113711:+	2	0.290161	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	17	2.466370	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	6	0.870483	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113713:+	7	1.015564	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113714:+	4	0.580322	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113711:+	1	0.145081	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113712:+	1	0.145081	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113714:+	2	0.290161	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113697-46113713:+	1	0.145081	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113744-46113766:+	1	0.145081	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113762:+	2	0.290161	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113764:+	5	0.725403	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113765:+	34	4.932739	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	117	16.974426	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113746-46113765:+	2	0.290161	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113746-46113766:+	1	0.145081	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539836-16539858:+	5	0.725403	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539859:+	1	0.145081	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539856:+	2	0.290161	Y	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539857:+	18	2.611450	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	92	13.347412	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	53	7.689270	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	36	5.222900	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	1110	161.039427	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	4812	698.127677	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	4351	631.245537	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	11494	1667.556011	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	312	45.265136	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539862:+	3	0.435242	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539858:+	5	0.725403	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539859:+	5	0.725403	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539860:+	45	6.528625	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539861:+	1	0.145081	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539857:+	1	0.145081	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539858:+	2	0.290161	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539860:+	3	0.435242	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539861:+	1	0.145081	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539842-16539860:+	1	0.145081	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539843-16539864:+	1	0.145081	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539845-16539863:+	1	0.145081	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539860-16539881:+	1	0.145081	N	stemloop
hsa-let-7c	hg38:chr21:16539870-16539891:+	1	0.145081	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539881-16539903:+	1	0.145081	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539900:+	1	0.145081	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539903:+	6	0.870483	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539904:+	32	4.642578	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539905:+	62	8.994995	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539884-16539905:+	2	0.290161	N	mature,MIMAT0026472
hsa-let-7d	hg38:chr9:94178821-94178840:+	1	0.145081	N	precursor
hsa-let-7d	hg38:chr9:94178841-94178857:+	2	0.290161	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178858:+	2	0.290161	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178859:+	5	0.725403	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178860:+	4	0.580322	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178861:+	253	36.705383	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178862:+	349	50.633117	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178863:+	551	79.939391	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178864:+	17	2.466370	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178865:+	1	0.145081	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178861:+	1	0.145081	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178862:+	3	0.435242	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178863:+	13	1.886047	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178843-94178862:+	3	0.435242	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178843-94178863:+	6	0.870483	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178843-94178864:+	1	0.145081	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178844-94178863:+	2	0.290161	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178845-94178863:+	1	0.145081	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178848-94178863:+	1	0.145081	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178895-94178912:+	2	0.290161	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178913:+	9	1.305725	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178914:+	3	0.435242	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178915:+	152	22.052246	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178916:+	523	75.877135	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178917:+	911	132.168394	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178918:+	1	0.145081	N	mature,MIMAT0004484
