miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	6	0.804967	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	23	3.085706	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	47	6.305573	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175985:+	2	0.268322	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	835	112.024540	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	16198	2173.141909	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	66540	8927.081282	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	120211	16127.643041	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	2543	341.171742	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	34	4.561478	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175989:+	1	0.134161	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	5	0.670806	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	9	1.207450	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	17	2.280739	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	1	0.134161	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	1	0.134161	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175985:+	1	0.134161	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	5	0.670806	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	15	2.012417	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	1	0.134161	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	10	1.341611	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175989:+	4	0.536645	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175969-94175985:+	1	0.134161	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176006:+	1	0.134161	N	stemloop
hsa-let-7a-1	hg38:chr9:94175984-94176007:+	1	0.134161	N	stemloop
hsa-let-7a-1	hg38:chr9:94176010-94176033:+	1	0.134161	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176011-94176033:+	1	0.134161	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176031:+	2	0.268322	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176032:+	1	0.134161	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	31	4.158995	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	75	10.062084	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	34	4.561478	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	1	0.134161	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	2	0.268322	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	2	0.268322	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176035:+	1	0.134161	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146522-122146545:-	2	0.268322	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	31	4.158995	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	11	1.475772	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146546:-	2	0.268322	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	8	1.073289	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146546:-	1	0.134161	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146528-122146548:-	1	0.134161	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	32	4.293156	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	1	0.134161	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146589:-	1	0.134161	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	2470	331.377980	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146591:-	1	0.134161	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146585:-	2	0.268322	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	4	0.536645	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	10	1.341611	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146588:-	1	0.134161	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	22	2.951545	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	119799	16072.368658	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	20	2.683223	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146586:-	1	0.134161	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	4	0.536645	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	4	0.536645	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	66785	8959.950758	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	21	2.817384	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146587:-	1	0.134161	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	1	0.134161	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	16076	2156.774251	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	5	0.670806	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	797	106.926417	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146572-122146591:-	1	0.134161	Y	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146572-122146592:-	1	0.134161	Y	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	2	0.268322	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146611:-	1	0.134161	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	8	1.073289	N	precursor
hsa-let-7a-3	hg38:chr22:46112750-46112774:+	1	0.134161	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	4	0.536645	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	4	0.536645	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	64	8.586312	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	176	23.612358	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	62	8.317990	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112775:+	1	0.134161	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	794	106.523934	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	16316	2188.972921	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	66846	8968.134586	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	120077	16109.665450	N	mature,MIMAT0000062
