miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	5	0.828032	N	precursor
hsa-let-7a-1	hg38:chr9:94175943-94175962:+	1	0.165606	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	8	1.324852	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	17	2.815310	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	7	1.159245	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	617	102.179199	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	16727	2770.099617	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	29543	4892.512285	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	36764	6088.356689	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	460	76.178982	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	2	0.331213	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175981:+	1	0.165606	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	4	0.662426	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	10	1.656065	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	34	5.630620	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	1	0.165606	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	2	0.331213	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	1	0.165606	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	82	13.579731	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	146	24.178546	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	6	0.993639	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	27	4.471375	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	99	16.395042	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175985:+	3	0.496819	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	5	0.828032	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	50	8.280324	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	96	15.898222	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	20	3.312130	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	1	0.165606	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176033:+	1	0.165606	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	4	0.662426	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	1	0.165606	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	1	0.165606	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	21	3.477736	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	11	1.821671	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146546:-	1	0.165606	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	3	0.496819	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146546:-	2	0.331213	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	3	0.496819	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146586:-	4	0.662426	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	3	0.496819	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146589:-	1	0.165606	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	485	80.319144	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146585:-	6	0.993639	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	83	13.745338	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	164	27.159463	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146588:-	3	0.496819	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	20	3.312130	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	36687	6075.604989	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	8	1.324852	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146586:-	26	4.305769	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	77	12.751699	N	mature,MIMAT0000062
