miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	1	0.163185	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175978:+	2	0.326370	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175979:+	1	0.163185	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175980:+	1	0.163185	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	5	0.815925	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	10	1.631849	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	15	2.447774	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	719	117.329962	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	14809	2416.605568	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	25251	4120.582564	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	29240	4771.527233	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	432	70.495888	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	8	1.305479	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	2	0.326370	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	5	0.815925	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	7	1.142294	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	1	0.163185	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175982:+	1	0.163185	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	1	0.163185	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	1	0.163185	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	16	2.610959	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	27	4.405993	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	2	0.326370	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175982:+	2	0.326370	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	9	1.468664	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	31	5.058733	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175985:+	1	0.163185	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	3	0.489555	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175985:+	1	0.163185	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176006:+	2	0.326370	N	stemloop
hsa-let-7a-1	hg38:chr9:94175984-94176007:+	2	0.326370	N	stemloop
hsa-let-7a-1	hg38:chr9:94175984-94176008:+	1	0.163185	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176030:+	1	0.163185	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176031:+	2	0.326370	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176032:+	1	0.163185	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	18	2.937329	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	37	6.037842	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	12	1.958219	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	1	0.163185	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176036:+	1	0.163185	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	51	8.322431	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	25	4.079623	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	13	2.121404	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146546:-	2	0.326370	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146526-122146545:-	2	0.326370	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146528-122146548:-	1	0.163185	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146549-122146568:-	1	0.163185	N	stemloop
hsa-let-7a-2	hg38:chr11:122146564-122146585:-	1	0.163185	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	5	0.815925	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146583:-	2	0.326370	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	442	72.127737	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146591:-	1	0.163185	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146585:-	1	0.163185	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	25	4.079623	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	30	4.895548	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	10	1.631849	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	29357	4790.619869	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	10	1.631849	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146586:-	5	0.815925	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	10	1.631849	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	5	0.815925	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	25048	4087.456024	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	17	2.774144	N	mature,MIMAT0000062
