miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175941-94175962:+	1	0.235056	N	precursor
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	1	0.235056	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	1	0.235056	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	4	0.940225	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	11	2.585619	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	144	33.848107	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	5022	1180.452718	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	9559	2246.903133	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	22822	5364.454787	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	559	131.396469	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	9	2.115507	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	1	0.235056	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	1	0.235056	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	5	1.175281	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	2	0.470113	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	7	1.645394	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	26	6.111464	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	2	0.470113	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	2	0.470113	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176005:+	1	0.235056	N	stemloop
hsa-let-7a-1	hg38:chr9:94175984-94176006:+	2	0.470113	N	stemloop
hsa-let-7a-1	hg38:chr9:94175984-94176007:+	1	0.235056	N	stemloop
hsa-let-7a-1	hg38:chr9:94175984-94176008:+	1	0.235056	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176032:+	1	0.235056	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	8	1.880450	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	34	7.991914	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	13	3.055732	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	1	0.235056	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	6	1.410338	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	10	2.350563	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	3	0.705169	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146526-122146546:-	1	0.235056	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	9	2.115507	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	1	0.235056	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	583	137.037821	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	5	1.175281	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	13	3.055732	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	6	1.410338	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	22935	5391.016148	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	1	0.235056	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146586:-	1	0.235056	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	3	0.705169	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	9602	2257.010554	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	5	1.175281	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	3	0.705169	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	5079	1193.850927	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	5	1.175281	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	121	28.441812	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	2	0.470113	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146611:-	1	0.235056	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	1	0.235056	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	33	7.756858	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	42	9.872364	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	19	4.466070	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112775:+	1	0.235056	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	113	26.561361	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	5011	1177.867099	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	9583	2252.544484	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	23101	5430.035494	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	543	127.635569	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	2	0.470113	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	1	0.235056	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	2	0.470113	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	12	2.820676	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	14	3.290788	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112775:+	1	0.235056	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112772:+	1	0.235056	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	5	1.175281	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112775:+	2	0.470113	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112819:+	1	0.235056	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	12	2.820676	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	35	8.226970	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	16	3.760901	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112823:+	1	0.235056	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112822:+	1	0.235056	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	1	0.235056	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112821:+	1	0.235056	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113690-46113713:+	2	0.470113	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113708:+	10	2.350563	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	13	3.055732	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	486	114.237360	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	7997	1879.745199	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	3392	797.310956	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	10808	2540.488447	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	2570	604.094681	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	2	0.470113	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	3	0.705169	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	5	1.175281	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	6	1.410338	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	2	0.470113	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113713:+	3	0.705169	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113745-46113765:+	21	4.936182	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	91	21.390123	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539836-16539858:+	2	0.470113	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539859:+	2	0.470113	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539860:+	1	0.235056	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539857:+	16	3.760901	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	66	15.513716	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	92	21.625179	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	94	22.095292	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539861:+	4	0.940225	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	369	86.735773	N	mature,MIMAT0000064
