miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175961-94175981:+	1	0.205004	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	4	0.820015	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	12	2.460045	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	26	5.330098	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175985:+	2	0.410008	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	426	87.331607	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	9955	2040.812561	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	27306	5597.833028	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	47211	9678.433132	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	851	174.458211	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	8	1.640030	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	2	0.410008	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	5	1.025019	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	16	3.280060	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	1	0.205004	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	1	0.205004	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	3	0.615011	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	8	1.640030	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	13	2.665049	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175982:+	1	0.205004	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	1	0.205004	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	4	0.820015	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176007:+	1	0.205004	N	stemloop
hsa-let-7a-1	hg38:chr9:94175984-94176008:+	1	0.205004	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176032:+	3	0.615011	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	32	6.560121	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	41	8.405155	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	13	2.665049	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	1	0.205004	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	1	0.205004	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176036:+	2	0.410008	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	13	2.665049	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	11	2.255042	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	4	0.820015	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146526-122146546:-	1	0.205004	N	mature,MIMAT0010195
