miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	2	0.562000	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175980:+	1	0.281000	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	3	0.843000	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	9	2.529001	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	7	1.967000	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175985:+	1	0.281000	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	624	175.344042	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	16266	4570.747106	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	22214	6242.135511	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	26866	7549.347827	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	295	82.895020	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	1	0.281000	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	4	1.124000	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	8	2.248001	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	15	4.215001	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	2	0.562000	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	10	2.810001	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	4	1.124000	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	46	12.926003	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	64	17.984004	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	1	0.281000	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175982:+	1	0.281000	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	7	1.967000	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	24	6.744002	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175985:+	2	0.562000	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	4	1.124000	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176032:+	2	0.562000	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	14	3.934001	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	29	8.149002	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	6	1.686000	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	2	0.562000	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	1	0.281000	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146522-122146545:-	1	0.281000	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146523-122146544:-	1	0.281000	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	8	2.248001	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	2	0.562000	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	4	1.124000	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146527-122146545:-	1	0.281000	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	2	0.562000	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146586:-	1	0.281000	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	2	0.562000	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	293	82.333020	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146585:-	7	1.967000	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	28	7.868002	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	72	20.232005	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146588:-	4	1.124000	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	24	6.744002	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	26221	7368.102783	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	5	1.405000	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146586:-	8	2.248001	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	47	13.207003	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146588:-	4	1.124000	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	8	2.248001	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	22206	6239.887510	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	2	0.562000	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146587:-	2	0.562000	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	5	1.405000	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	16209	4554.730102	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	3	0.843000	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	596	167.476041	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146572-122146591:-	1	0.281000	Y	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146573-122146591:-	1	0.281000	Y	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146574-122146591:-	1	0.281000	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	1	0.281000	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	4	1.124000	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	2	0.562000	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	62	17.422004	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	46	12.926003	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	18	5.058001	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	615	172.815042	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	16152	4538.713098	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	22364	6284.285521	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	26952	7573.513833	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	277	77.837019	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112778:+	1	0.281000	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	7	1.967000	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	9	2.529001	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	25	7.025002	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112775:+	2	0.562000	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112773:+	3	0.843000	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112774:+	6	1.686000	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112772:+	2	0.562000	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	42	11.802003	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	76	21.356005	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112775:+	2	0.562000	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112773:+	14	3.934001	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	32	8.992002	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112775:+	2	0.562000	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112757-46112774:+	7	1.967000	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112819:+	1	0.281000	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	21	5.901001	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	33	9.273002	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	13	3.653001	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112820:+	1	0.281000	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112821:+	1	0.281000	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113672-46113691:+	1	0.281000	N	precursor
hsa-let-7b	hg38:chr22:46113691-46113708:+	28	7.868002	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	88	24.728006	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	2456	690.136167	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	43426	12202.708953	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	10376	2915.656706	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	12728	3576.568866	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	1133	318.373077	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113710:+	1	0.281000	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	12	3.372001	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113712:+	4	1.124000	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	9	2.529001	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113714:+	3	0.843000	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113693-46113713:+	1	0.281000	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113711:+	4	1.124000	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113712:+	3	0.843000	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	41	11.521003	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	12	3.372001	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113711:+	3	0.843000	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113712:+	3	0.843000	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113713:+	18	5.058001	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113714:+	6	1.686000	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113713:+	1	0.281000	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113714:+	2	0.562000	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113697-46113714:+	1	0.281000	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113745-46113763:+	1	0.281000	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113764:+	2	0.562000	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113765:+	25	7.025002	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	104	29.224007	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113746-46113765:+	1	0.281000	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113746-46113766:+	3	0.843000	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539836-16539857:+	3	0.843000	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539858:+	7	1.967000	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539854:+	1	0.281000	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539855:+	1	0.281000	Y	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539856:+	1	0.281000	Y	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539857:+	36	10.116002	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	139	39.059009	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	92	25.852006	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	46	12.926003	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	1735	487.535118	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	7815	2196.015531	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	5694	1600.014387	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	12855	3612.255874	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	229	64.349016	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539862:+	1	0.281000	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539857:+	1	0.281000	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539858:+	3	0.843000	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539859:+	8	2.248001	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539860:+	19	5.339001	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539861:+	3	0.843000	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539840-16539860:+	1	0.281000	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539858:+	2	0.562000	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539859:+	2	0.562000	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539860:+	15	4.215001	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539861:+	2	0.562000	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539842-16539860:+	4	1.124000	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539842-16539861:+	1	0.281000	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539843-16539860:+	3	0.843000	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539860-16539881:+	1	0.281000	N	stemloop
hsa-let-7c	hg38:chr21:16539883-16539902:+	1	0.281000	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539903:+	9	2.529001	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539904:+	20	5.620001	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539905:+	59	16.579004	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539906:+	4	1.124000	N	mature,MIMAT0026472
hsa-let-7d	hg38:chr9:94178823-94178841:+	1	0.281000	N	precursor
hsa-let-7d	hg38:chr9:94178840-94178861:+	1	0.281000	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178857:+	2	0.562000	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178858:+	7	1.967000	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178859:+	11	3.091001	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178860:+	6	1.686000	N	mature,MIMAT0000065
