miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	1	0.158644	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	8	1.269152	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	11	1.745084	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	24	3.807456	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	578	91.696239	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	19364	3071.982658	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	31800	5044.879598	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	48950	7765.624413	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	842	133.578259	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	14	2.221016	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	1	0.158644	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	13	2.062372	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	11	1.745084	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	2	0.317288	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	3	0.475932	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	1	0.158644	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	82	13.008809	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	181	28.714566	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	10	1.586440	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175982:+	1	0.158644	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	12	1.903728	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	71	11.263725	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175985:+	6	0.951864	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	1	0.158644	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176007:+	1	0.158644	N	stemloop
hsa-let-7a-1	hg38:chr9:94175984-94176008:+	1	0.158644	N	stemloop
hsa-let-7a-1	hg38:chr9:94176009-94176027:+	1	0.158644	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176031:+	3	0.475932	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176032:+	1	0.158644	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	73	11.581013	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	125	19.830502	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	27	4.283388	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176033:+	1	0.158644	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	2	0.317288	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	2	0.317288	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	2	0.317288	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176035:+	1	0.158644	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176036:+	1	0.158644	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176016-94176036:+	1	0.158644	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146522-122146545:-	1	0.158644	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	51	8.090845	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	29	4.600676	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	17	2.696948	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146546:-	2	0.317288	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146526-122146545:-	1	0.158644	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146526-122146546:-	1	0.158644	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146528-122146545:-	1	0.158644	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146529-122146548:-	1	0.158644	N	mature,MIMAT0010195
