miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175941-94175962:+	2	0.253902	N	precursor
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	5	0.634755	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175980:+	2	0.253902	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175981:+	2	0.253902	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	13	1.650362	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	11	1.396460	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	16	2.031215	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175985:+	1	0.126951	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	843	107.019624	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	25384	3222.522109	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	43066	5467.268245	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	56186	7132.864292	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	698	88.611741	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	7	0.888656	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175988:+	1	0.126951	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175989:+	1	0.126951	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	1	0.126951	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	9	1.142558	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	20	2.539018	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175982:+	1	0.126951	N	mature,MIMAT0000062
