miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	2	0.286231	N	precursor
hsa-let-7a-1	hg38:chr9:94175943-94175962:+	3	0.429346	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175981:+	1	0.143115	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	9	1.288038	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	7	1.001807	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	21	3.005422	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	1861	266.337654	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	40329	5771.698683	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	50706	7256.806602	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	52001	7442.140971	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	619	88.588398	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	10	1.431153	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175981:+	1	0.143115	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	6	0.858692	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	7	1.001807	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	15	2.146730	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	1	0.143115	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175982:+	1	0.143115	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	2	0.286231	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	2	0.286231	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	4	0.572461	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	22	3.148538	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	45	6.440190	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175982:+	1	0.143115	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	8	1.144923	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	29	4.150345	N	mature,MIMAT0000062
