miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175943-94175962:+	1	0.132505	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	8	1.060037	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	13	1.722561	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	30	3.975140	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	276	36.571288	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	12515	1658.295905	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	33932	4496.148354	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	69931	9266.183855	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	1547	204.984720	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	30	3.975140	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	6	0.795028	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	36	4.770168	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	87	11.527906	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	3	0.397514	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175986:+	1	0.132505	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	3	0.397514	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	8	1.060037	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	22	2.915103	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	1	0.132505	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175982:+	2	0.265009	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	1	0.132505	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	3	0.397514	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	1	0.132505	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175988:+	1	0.132505	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175990:+	1	0.132505	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175969-94175985:+	1	0.132505	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176007:+	3	0.397514	N	stemloop
hsa-let-7a-1	hg38:chr9:94175984-94176008:+	2	0.265009	N	stemloop
hsa-let-7a-1	hg38:chr9:94176008-94176030:+	1	0.132505	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176031:+	1	0.132505	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	39	5.167682	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	89	11.792915	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	30	3.975140	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	2	0.265009	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176037:+	1	0.132505	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	117	15.503046	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	37	4.902673	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146546:-	2	0.265009	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	26	3.445121	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146546:-	7	0.927533	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146526-122146545:-	4	0.530019	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146526-122146546:-	2	0.265009	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146527-122146545:-	2	0.265009	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146528-122146545:-	1	0.132505	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146589:-	1	0.132505	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	23	3.047607	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146583:-	1	0.132505	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	1	0.132505	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146589:-	10	1.325047	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	1500	198.757000	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146591:-	1	0.132505	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	6	0.795028	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	15	1.987570	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	88	11.660411	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	69650	9228.950044	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	14	1.855065	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146586:-	3	0.397514	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	3	0.397514	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	32	4.240149	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	34225	4534.972222	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	13	1.722561	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146593:-	1	0.132505	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146587:-	1	0.132505	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	9	1.192542	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	12554	1663.463587	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	10	1.325047	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	273	36.173774	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146572-122146591:-	1	0.132505	Y	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	5	0.662523	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146611:-	2	0.265009	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	7	0.927533	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	5	0.662523	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	3	0.397514	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	91	12.057925	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	192	25.440896	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	83	10.997887	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112775:+	1	0.132505	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	306	40.546428	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	12476	1653.128223	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	34100	4518.409138	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	69959	9269.893986	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	1485	196.769430	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	2	0.265009	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112771:+	1	0.132505	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	7	0.927533	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	34	4.505159	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	103	13.647981	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112775:+	9	1.192542	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112773:+	1	0.132505	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112774:+	1	0.132505	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	6	0.795028	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	17	2.252579	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112775:+	4	0.530019	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112772:+	1	0.132505	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112773:+	1	0.132505	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	8	1.060037	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112775:+	1	0.132505	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112759-46112775:+	1	0.132505	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112795-46112817:+	1	0.132505	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112797-46112820:+	1	0.132505	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112798-46112820:+	1	0.132505	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112818:+	1	0.132505	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112819:+	1	0.132505	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	43	5.697701	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	98	12.985457	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	41	5.432691	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112823:+	2	0.265009	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112821:+	1	0.132505	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112822:+	1	0.132505	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	1	0.132505	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112823:+	2	0.265009	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112803-46112825:+	1	0.132505	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113671-46113691:+	1	0.132505	N	precursor
hsa-let-7b	hg38:chr22:46113673-46113691:+	1	0.132505	N	precursor
hsa-let-7b	hg38:chr22:46113691-46113708:+	16	2.120075	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	25	3.312617	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	1218	161.390684	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	42568	5640.458657	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	20710	2744.171650	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	60078	7960.615373	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	14096	1867.785783	N	mature,MIMAT0000063
