miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	11	1.502312	N	precursor
hsa-let-7a-1	hg38:chr9:94175943-94175962:+	2	0.273148	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175978:+	1	0.136574	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175979:+	1	0.136574	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175980:+	2	0.273148	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	19	2.594903	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	30	4.097215	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	18	2.458329	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	2667	364.242454	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	41856	5716.434996	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	99266	13557.139630	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	83089	11347.784485	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	708	96.694285	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	6	0.819443	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	9	1.229165	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	8	1.092591	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	23	3.141199	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	3	0.409722	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	9	1.229165	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	6	0.819443	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	109	14.886549	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	134	18.300896	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	3	0.409722	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	22	3.004625	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	49	6.692119	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	15	2.048608	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175985:+	1	0.136574	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175986:+	1	0.136574	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176006:+	1	0.136574	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176031:+	10	1.365738	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176032:+	1	0.136574	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	56	7.648136	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	74	10.106465	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	7	0.956017	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	2	0.273148	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	3	0.409722	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176016-94176034:+	1	0.136574	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	9	1.229165	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	11	1.502312	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146546:-	2	0.273148	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	4	0.546295	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146547:-	1	0.136574	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146526-122146545:-	1	0.136574	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146528-122146548:-	1	0.136574	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146547-122146568:-	1	0.136574	N	stemloop
hsa-let-7a-2	hg38:chr11:122146564-122146585:-	1	0.136574	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	4	0.546295	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146586:-	1	0.136574	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	1	0.136574	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	792	108.166488	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146585:-	9	1.229165	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	48	6.555545	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	114	15.569419	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146588:-	9	1.229165	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	33	4.506937	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	82884	11319.786846	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	2	0.273148	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146586:-	24	3.277772	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	91	12.428220	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146588:-	5	0.682869	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	11	1.502312	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	99437	13580.493758	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	8	1.092591	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146587:-	7	0.956017	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146588:-	2	0.273148	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	5	0.682869	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	41676	5691.851704	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	7	0.956017	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	2713	370.524851	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146572-122146591:-	16	2.185182	Y	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146572-122146592:-	2	0.273148	Y	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146573-122146592:-	1	0.136574	Y	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146574-122146591:-	2	0.273148	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	10	1.365738	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146611:-	2	0.273148	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	3	0.409722	N	precursor
hsa-let-7a-3	hg38:chr22:46112750-46112768:+	1	0.136574	Y	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112767:+	1	0.136574	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	11	1.502312	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	6	0.819443	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	89	12.155073	N	mature,MIMAT0000062
