miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175961:+	1	0.115563	N	precursor
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	4	0.462250	N	precursor
hsa-let-7a-1	hg38:chr9:94175943-94175961:+	1	0.115563	N	precursor
hsa-let-7a-1	hg38:chr9:94175943-94175962:+	2	0.231125	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	10	1.155626	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	19	2.195689	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	24	2.773501	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	405	46.802835	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	13741	1587.945069	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	27944	3229.280038	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	46100	5327.433788	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	996	115.100305	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	23	2.657939	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	11	1.271188	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	11	1.271188	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	40	4.622502	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	2	0.231125	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	3	0.346688	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	4	0.462250	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	45	5.200315	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	89	10.285067	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	6	0.693375	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	18	2.080126	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	34	3.929127	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175985:+	2	0.231125	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	6	0.693375	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175988:+	2	0.231125	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176006:+	2	0.231125	N	stemloop
hsa-let-7a-1	hg38:chr9:94175984-94176007:+	1	0.115563	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176031:+	1	0.115563	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176032:+	1	0.115563	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	34	3.929127	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	67	7.742691	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	13	1.502313	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	1	0.115563	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	1	0.115563	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	2	0.231125	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	2	0.231125	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	7	0.808938	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146546:-	1	0.115563	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	2	0.231125	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	7	0.808938	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146586:-	4	0.462250	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	4	0.462250	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146589:-	2	0.231125	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	979	113.135741	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146585:-	5	0.577813	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	36	4.160252	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	92	10.631755	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146588:-	5	0.577813	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	42	4.853627	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	46019	5318.073221	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	9	1.040063	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146586:-	12	1.386751	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	32	3.698002	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146588:-	1	0.115563	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	16	1.849001	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	28325	3273.309372	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	3	0.346688	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146587:-	2	0.231125	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	12	1.386751	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	13447	1553.969678	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	3	0.346688	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	461	53.274338	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146591:-	1	0.115563	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146572-122146591:-	3	0.346688	Y	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146574-122146591:-	1	0.115563	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	6	0.693375	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146611:-	1	0.115563	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146614:-	1	0.115563	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	2	0.231125	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	2	0.231125	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	48	5.547003	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	129	14.907570	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	29	3.351314	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	436	50.385274	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	13338	1541.373359	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	28338	3274.811685	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	46150	5333.211916	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	1035	119.607244	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	1	0.115563	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	10	1.155626	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	22	2.542376	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	44	5.084752	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112772:+	1	0.115563	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112773:+	3	0.346688	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112774:+	3	0.346688	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	44	5.084752	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	82	9.476130	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112775:+	5	0.577813	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112773:+	22	2.542376	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	47	5.431440	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112775:+	1	0.115563	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112757-46112774:+	5	0.577813	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112819:+	1	0.115563	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	25	2.889064	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	63	7.280441	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	6	0.693375	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112821:+	2	0.231125	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113672-46113691:+	2	0.231125	N	precursor
hsa-let-7b	hg38:chr22:46113690-46113712:+	1	0.115563	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113708:+	10	1.155626	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	33	3.813564	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	555	64.137218	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	11135	1286.789050	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	5482	633.513927	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	12273	1418.299238	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	2549	294.568953	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	7	0.808938	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113712:+	3	0.346688	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	25	2.889064	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113714:+	6	0.693375	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113693-46113713:+	1	0.115563	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113711:+	1	0.115563	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113712:+	3	0.346688	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	24	2.773501	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	8	0.924500	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113713:+	14	1.617876	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113714:+	1	0.115563	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113711:+	1	0.115563	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113714:+	1	0.115563	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113745-46113764:+	1	0.115563	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113765:+	24	2.773501	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	85	9.822817	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113746-46113766:+	1	0.115563	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539836-16539857:+	2	0.231125	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539858:+	2	0.231125	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539859:+	1	0.115563	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539856:+	3	0.346688	Y	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539857:+	27	3.120189	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	101	11.671818	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	135	15.600945	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	108	12.480756	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539861:+	2	0.231125	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	1029	118.913869	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	4348	502.465989	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	5403	624.384485	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	17542	2027.198341	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	691	79.853726	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539862:+	7	0.808938	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539859:+	6	0.693375	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539860:+	23	2.657939	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539861:+	1	0.115563	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539859:+	1	0.115563	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539860:+	21	2.426814	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539861:+	1	0.115563	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539842-16539860:+	2	0.231125	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539843-16539860:+	1	0.115563	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539881-16539903:+	1	0.115563	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539900:+	2	0.231125	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539902:+	1	0.115563	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539903:+	6	0.693375	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539904:+	14	1.617876	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539905:+	19	2.195689	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539907:+	1	0.115563	N	mature,MIMAT0026472
