miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	7	1.889051	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	6	1.619186	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	17	4.587694	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	130	35.082369	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	5135	1385.753590	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	10400	2806.589548	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	26955	7274.194354	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	752	202.938014	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	16	4.317830	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	2	0.539729	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	5	1.349322	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	2	0.539729	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	1	0.269864	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	9	2.428779	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	24	6.476745	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	1	0.269864	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	5	1.349322	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175985:+	1	0.269864	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	1	0.269864	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175988:+	1	0.269864	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175989:+	1	0.269864	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176004:+	1	0.269864	N	stemloop
hsa-let-7a-1	hg38:chr9:94175984-94176006:+	2	0.539729	N	stemloop
hsa-let-7a-1	hg38:chr9:94175984-94176008:+	1	0.269864	N	stemloop
hsa-let-7a-1	hg38:chr9:94176009-94176032:+	1	0.269864	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176032:+	1	0.269864	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	15	4.047966	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	24	6.476745	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	23	6.206881	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	1	0.269864	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	1	0.269864	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	2	0.539729	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	1	0.269864	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176035:+	1	0.269864	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146521-122146545:-	1	0.269864	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	21	5.667152	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	11	2.968508	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	6	1.619186	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146546:-	1	0.269864	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	20	5.397288	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	678	182.968049	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	3	0.809593	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	22	5.937016	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146588:-	1	0.269864	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	12	3.238373	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	26904	7260.431270	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	7	1.889051	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146592:-	1	0.269864	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146586:-	1	0.269864	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	11	2.968508	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	2	0.539729	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	10299	2779.333246	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	5	1.349322	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	4965	1339.876645	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	1	0.269864	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	112	30.224811	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	1	0.269864	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	1	0.269864	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	4	1.079458	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	58	15.652134	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	103	27.796031	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	73	19.700100	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	113	30.494675	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	4922	1328.272477	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	10409	2809.018328	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	26756	7220.491342	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	736	198.620183	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	4	1.079458	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	2	0.539729	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	5	1.349322	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112775:+	1	0.269864	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112774:+	1	0.269864	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	7	1.889051	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	43	11.604168	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112773:+	2	0.539729	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	8	2.158915	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112757-46112774:+	2	0.539729	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	8	2.158915	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	38	10.254846	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	22	5.937016	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112823:+	1	0.269864	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112821:+	1	0.269864	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	2	0.539729	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112803-46112825:+	1	0.269864	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113691-46113708:+	7	1.889051	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	34	9.175389	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	653	176.221440	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	14696	3965.926923	N	mature,MIMAT0000063
