miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	1	0.191944	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175980:+	1	0.191944	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	15	2.879159	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	11	2.111384	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	12	2.303328	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	753	144.533801	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	22460	4311.061308	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	34820	6683.488635	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	43229	8297.545382	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	660	126.683013	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	5	0.959720	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	2	0.383888	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	3	0.575832	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	17	3.263047	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	2	0.383888	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	3	0.575832	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	3	0.575832	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	1	0.191944	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	24	4.606655	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	40	7.677758	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	1	0.191944	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	5	0.959720	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	11	2.111384	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	2	0.383888	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176006:+	3	0.575832	N	stemloop
hsa-let-7a-1	hg38:chr9:94175984-94176008:+	1	0.191944	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176031:+	1	0.191944	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176032:+	1	0.191944	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	15	2.879159	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	46	8.829422	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	11	2.111384	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	1	0.191944	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146522-122146545:-	1	0.191944	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	51	9.789142	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	38	7.293870	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	20	3.838879	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146546:-	1	0.191944	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	6	1.151664	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	628	120.540806	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146585:-	3	0.575832	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	16	3.071103	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	53	10.173030	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146588:-	5	0.959720	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	7	1.343608	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	42783	8211.938377	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	4	0.767776	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146586:-	3	0.575832	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	22	4.222767	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	7	1.343608	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	35089	6735.121560	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	15	2.879159	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146587:-	1	0.191944	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146588:-	1	0.191944	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	5	0.959720	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	22826	4381.312797	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	9	1.727496	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	710	136.280211	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146572-122146591:-	2	0.383888	Y	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146574-122146591:-	1	0.191944	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	4	0.767776	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146611:-	2	0.383888	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	1	0.191944	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	1	0.191944	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	5	0.959720	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	62	11.900525	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	66	12.668301	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	16	3.071103	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	754	144.725745	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	22671	4351.561483	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	34657	6652.201770	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	42987	8251.094944	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	589	113.054992	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	1	0.191944	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	3	0.575832	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	11	2.111384	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	12	2.303328	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112775:+	1	0.191944	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112773:+	1	0.191944	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112774:+	2	0.383888	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112772:+	2	0.383888	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	22	4.222767	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	44	8.445534	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112773:+	4	0.767776	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	13	2.495271	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112757-46112774:+	2	0.383888	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112759-46112775:+	1	0.191944	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112795-46112817:+	1	0.191944	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112818:+	2	0.383888	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	20	3.838879	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	38	7.293870	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	9	1.727496	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112823:+	1	0.191944	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	1	0.191944	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112823:+	1	0.191944	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113671-46113691:+	1	0.191944	N	precursor
hsa-let-7b	hg38:chr22:46113672-46113691:+	1	0.191944	N	precursor
hsa-let-7b	hg38:chr22:46113691-46113708:+	25	4.798599	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	137	26.296322	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	2527	485.042383	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	54633	10486.474285	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	16717	3208.727154	N	mature,MIMAT0000063
