miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	4	0.755391	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	3	0.566544	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	10	1.888479	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	12	2.266174	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	121	22.850590	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	6129	1157.448499	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	12893	2434.815386	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	29777	5623.322559	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	684	129.171932	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	15	2.832718	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	1	0.188848	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	1	0.188848	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	8	1.510783	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	1	0.188848	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	1	0.188848	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	13	2.455022	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	32	6.043131	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	1	0.188848	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	4	0.755391	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	4	0.755391	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176007:+	2	0.377696	N	stemloop
hsa-let-7a-1	hg38:chr9:94175984-94176008:+	1	0.188848	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176032:+	2	0.377696	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	15	2.832718	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	46	8.687001	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	9	1.699631	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	1	0.188848	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	1	0.188848	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	1	0.188848	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	3	0.566544	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	40	7.553914	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	17	3.210414	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	11	2.077326	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146526-122146545:-	1	0.188848	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146589:-	2	0.377696	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	8	1.510783	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146583:-	1	0.188848	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	1	0.188848	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146589:-	1	0.188848	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	696	131.438107	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146585:-	2	0.377696	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	7	1.321935	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	29	5.476588	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	3	0.566544	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	29919	5650.138954	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146586:-	1	0.188848	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	12	2.266174	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	1	0.188848	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	13012	2457.288281	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	1	0.188848	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	6084	1148.950346	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	6	1.133087	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	131	24.739069	N	mature,MIMAT0000062
