miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	3	0.701284	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	5	1.168806	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	16	3.740180	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	197	46.050966	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	8335	1948.400009	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	17818	4165.157933	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	36314	8488.805992	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	716	167.373054	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	16	3.740180	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	8	1.870090	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	8	1.870090	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	33	7.714121	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	4	0.935045	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	1	0.233761	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	5	1.168806	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	10	2.337612	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	2	0.467522	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	2	0.467522	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	1	0.233761	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175989:+	2	0.467522	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175969-94175985:+	1	0.233761	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176008-94176029:+	1	0.233761	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176008-94176030:+	1	0.233761	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176032:+	1	0.233761	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	18	4.207702	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	56	13.090630	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	18	4.207702	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	2	0.467522	N	mature,MIMAT0004481
