miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	8	1.251046	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	8	1.251046	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	6	0.938284	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	828	129.483220	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	21749	3401.123846	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	32949	5152.587686	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	35232	5509.604824	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	420	65.679894	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	2	0.312761	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175987:+	1	0.156381	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	15	2.345711	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	40	6.255228	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	58	9.070081	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	2	0.312761	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175982:+	1	0.156381	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	1	0.156381	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	21	3.283995	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	36	5.629705	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	1	0.156381	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	3	0.469142	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	14	2.189330	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176005:+	1	0.156381	N	stemloop
hsa-let-7a-1	hg38:chr9:94175984-94176006:+	1	0.156381	N	stemloop
hsa-let-7a-1	hg38:chr9:94175984-94176007:+	1	0.156381	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176031:+	2	0.312761	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176032:+	1	0.156381	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	31	4.847802	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	78	12.197695	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	32	5.004182	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176032:+	1	0.156381	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	2	0.312761	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	1	0.156381	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176036:+	1	0.156381	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146522-122146545:-	2	0.312761	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146523-122146544:-	1	0.156381	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	54	8.444558	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	25	3.909518	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146546:-	2	0.312761	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	19	2.971233	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146546:-	1	0.156381	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146526-122146546:-	1	0.156381	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146528-122146545:-	1	0.156381	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	1	0.156381	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	1	0.156381	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146589:-	3	0.469142	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	432	67.556462	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146585:-	3	0.469142	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	10	1.563807	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	38	5.942467	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	67	10.477507	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	35111	5490.682760	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	1	0.156381	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146586:-	2	0.312761	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	24	3.753137	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146588:-	1	0.156381	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	35	5.473325	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	32831	5134.134764	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	6	0.938284	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146586:-	1	0.156381	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	15	2.345711	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	22206	3472.589825	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	11	1.720188	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	855	133.705499	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146591:-	1	0.156381	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146572-122146591:-	1	0.156381	Y	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146609:-	1	0.156381	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	7	1.094665	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146611:-	3	0.469142	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	3	0.469142	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	7	1.094665	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	7	1.094665	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	70	10.946649	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	111	17.358258	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	19	2.971233	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	871	136.207590	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	22220	3474.779155	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	32815	5131.632672	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	35250	5512.419677	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	431	67.400082	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	16	2.502091	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	40	6.255228	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	67	10.477507	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112775:+	2	0.312761	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112774:+	2	0.312761	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112772:+	2	0.312761	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	22	3.440375	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	40	6.255228	N	mature,MIMAT0000062
