miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175943-94175962:+	1	0.210081	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	4	0.840322	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	2	0.420161	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	9	1.890725	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	90	18.907245	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	3509	737.172484	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	6836	1436.110317	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	16496	3465.487975	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	372	78.149947	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	8	1.680644	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	1	0.210081	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	3	0.630242	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	1	0.210081	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	5	1.050403	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	13	2.731047	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	1	0.210081	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	1	0.210081	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	1	0.210081	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175989:+	1	0.210081	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175990:+	1	0.210081	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175991:+	2	0.420161	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176007:+	2	0.420161	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	14	2.941127	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	41	8.613301	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	18	3.781449	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	2	0.420161	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146522-122146545:-	1	0.210081	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	51	10.714106	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	14	2.941127	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146546:-	1	0.210081	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	6	1.260483	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	3	0.630242	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146586:-	1	0.210081	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	385	80.880994	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146585:-	1	0.210081	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	10	2.100805	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	15	3.151208	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146588:-	1	0.210081	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	2	0.420161	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	16254	3414.648493	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	4	0.840322	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146586:-	1	0.210081	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	6	1.260483	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	1	0.210081	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	6602	1386.951480	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	3	0.630242	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	3470	728.979345	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	1	0.210081	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	83	17.436682	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	2	0.420161	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146611:-	2	0.420161	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	2	0.420161	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146614:-	1	0.210081	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	15	3.151208	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	46	9.663703	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	16	3.361288	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	86	18.066923	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	3457	726.248298	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	6736	1415.102267	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	16283	3420.740828	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	383	80.460833	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	2	0.420161	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	1	0.210081	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112775:+	1	0.210081	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112772:+	1	0.210081	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	7	1.470564	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	10	2.100805	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112775:+	1	0.210081	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	5	1.050403	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112757-46112774:+	2	0.420161	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	20	4.201610	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	34	7.142737	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	14	2.941127	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113690-46113713:+	1	0.210081	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113708:+	2	0.420161	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	9	1.890725	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	251	52.730206	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	4321	907.757853	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	1719	361.128384	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	5971	1254.390683	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	1439	302.305844	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	1	0.210081	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	2	0.420161	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113714:+	2	0.420161	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	6	1.260483	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113698-46113714:+	1	0.210081	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113745-46113765:+	14	2.941127	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	41	8.613301	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539836-16539858:+	1	0.210081	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539857:+	4	0.840322	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	11	2.310886	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	39	8.193140	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	42	8.823381	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	99	20.797970	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	427	89.704375	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	491	103.149527	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	2733	574.150014	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	133	27.940707	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539862:+	2	0.420161	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539859:+	1	0.210081	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539860:+	3	0.630242	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539883-16539903:+	1	0.210081	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539904:+	7	1.470564	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539905:+	42	8.823381	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539906:+	1	0.210081	N	mature,MIMAT0026472
hsa-let-7d	hg38:chr9:94178840-94178862:+	1	0.210081	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178858:+	1	0.210081	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178859:+	1	0.210081	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178860:+	3	0.630242	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178861:+	119	24.999580	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178862:+	259	54.410850	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178863:+	717	150.627721	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178864:+	46	9.663703	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178865:+	1	0.210081	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178862:+	2	0.420161	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178863:+	15	3.151208	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178864:+	2	0.420161	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178844-94178863:+	1	0.210081	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178845-94178862:+	1	0.210081	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178894-94178916:+	1	0.210081	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178910:+	1	0.210081	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178914:+	2	0.420161	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178915:+	168	35.293524	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178916:+	516	108.401539	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178917:+	1373	288.440530	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178918:+	6	1.260483	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178915:+	6	1.260483	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178916:+	11	2.310886	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178917:+	57	11.974589	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178916-94178936:+	1	0.210081	N	precursor
hsa-let-7e	hg38:chr19:51692793-51692810:+	3	0.630242	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692811:+	12	2.520966	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692812:+	9	1.890725	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692813:+	404	84.872523	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692814:+	1636	343.691703	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692815:+	5995	1259.432615	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692816:+	151	31.722156	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692817:+	26	5.462093	N	mature,MIMAT0000066
