miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	3	0.733606	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	6	1.467213	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	19	4.646174	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	89	21.763658	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	2242	548.248563	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	10022	2450.734658	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	37397	9144.893634	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	1111	271.678927	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	28	6.846994	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175987:+	1	0.244535	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	5	1.222677	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	16	3.912568	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	81	19.807375	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	6	1.467213	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	1	0.244535	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	1	0.244535	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	9	2.200819	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	1	0.244535	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	3	0.733606	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	1	0.244535	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176007:+	2	0.489071	N	stemloop
hsa-let-7a-1	hg38:chr9:94175984-94176008:+	8	1.956284	N	stemloop
hsa-let-7a-1	hg38:chr9:94176010-94176033:+	1	0.244535	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	3	0.733606	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	17	4.157103	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	13	3.178961	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	1	0.244535	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	2	0.489071	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176036:+	1	0.244535	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146522-122146545:-	2	0.489071	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146522-122146546:-	1	0.244535	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	83	20.296445	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	14	3.423497	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	5	1.222677	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146526-122146545:-	1	0.244535	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146527-122146545:-	1	0.244535	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146528-122146545:-	1	0.244535	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	26	6.357923	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146589:-	4	0.978142	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	1088	266.054611	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	2	0.489071	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	11	2.689890	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	92	22.497265	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	37277	9115.549376	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	6	1.467213	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146586:-	3	0.733606	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	1	0.244535	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	11	2.689890	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	9956	2434.595316	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	4	0.978142	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	4	0.978142	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	2250	550.204847	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	2	0.489071	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	66	16.139342	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	4	0.978142	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146611:-	1	0.244535	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	2	0.489071	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	1	0.244535	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	30	7.336065	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	61	14.916665	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	54	13.204916	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	62	15.161200	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	2332	570.256757	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	9967	2437.285206	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	37358	9135.356750	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	1130	276.325101	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	6	1.467213	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112780:+	1	0.244535	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	3	0.733606	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	8	1.956284	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	91	22.252729	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112775:+	5	1.222677	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	3	0.733606	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	8	1.956284	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112817:+	1	0.244535	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	3	0.733606	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	9	2.200819	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	23	5.624316	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112823:+	1	0.244535	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	2	0.489071	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112803-46112825:+	1	0.244535	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113671-46113691:+	1	0.244535	N	precursor
hsa-let-7b	hg38:chr22:46113672-46113691:+	2	0.489071	N	precursor
hsa-let-7b	hg38:chr22:46113690-46113713:+	1	0.244535	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113690-46113714:+	1	0.244535	N	mature,MIMAT0000063
