miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175961:+	1	0.226912	N	precursor
hsa-let-7a-1	hg38:chr9:94175943-94175962:+	1	0.226912	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	3	0.680736	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	19	4.311330	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	37	8.395747	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175985:+	1	0.226912	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	635	144.089178	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	9405	2134.108223	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	52889	12001.153621	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	119791	27182.026384	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	2501	567.507141	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	30	6.807363	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	5	1.134560	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	15	3.403681	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	1	0.226912	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	1	0.226912	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	2	0.453824	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	1	0.226912	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	9	2.042209	N	mature,MIMAT0000062
