miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175941-94175962:+	2	0.301755	N	precursor
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	2	0.301755	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	8	1.207019	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	11	1.659651	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	17	2.564915	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	536	80.870273	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	16414	2476.501226	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	24682	3723.955359	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	32726	4937.612960	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	518	78.154480	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	7	1.056142	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	2	0.301755	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	5	0.754387	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	7	1.056142	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	1	0.150877	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	2	0.301755	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	3	0.452632	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	77	11.617558	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	129	19.463181	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	5	0.754387	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	20	3.017547	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	51	7.694746	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175985:+	6	0.905264	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175988:+	1	0.150877	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176006:+	1	0.150877	N	stemloop
hsa-let-7a-1	hg38:chr9:94175984-94176007:+	2	0.301755	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176032:+	1	0.150877	N	mature,MIMAT0004481
