miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175961:+	1	0.199168	N	precursor
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	1	0.199168	N	precursor
hsa-let-7a-1	hg38:chr9:94175943-94175962:+	2	0.398336	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175980:+	2	0.398336	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	14	2.788353	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	20	3.983361	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	14	2.788353	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	945	188.213831	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	24551	4889.775408	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	43257	8615.413418	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	51037	10164.941041	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	893	177.857091	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	20	3.983361	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	10	1.991681	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	13	2.589185	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	31	6.174210	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	3	0.597504	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	3	0.597504	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	1	0.199168	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	3	0.597504	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	52	10.356740	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	77	15.335942	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	4	0.796672	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	12	2.390017	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	41	8.165891	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175985:+	1	0.199168	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	3	0.597504	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176030:+	1	0.199168	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176031:+	1	0.199168	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176032:+	1	0.199168	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	20	3.983361	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	47	9.360900	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	9	1.792513	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	1	0.199168	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	1	0.199168	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	10	1.991681	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	11	2.190849	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	11	2.190849	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146546:-	3	0.597504	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146526-122146545:-	2	0.398336	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146527-122146545:-	1	0.199168	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146527-122146547:-	1	0.199168	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146547-122146568:-	1	0.199168	N	stemloop
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	5	0.995840	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	3	0.597504	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146589:-	1	0.199168	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	876	174.471234	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146585:-	5	0.995840	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	24	4.780034	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	74	14.738438	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146588:-	2	0.398336	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	27	5.377538	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	50742	10106.186459	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	3	0.597504	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146586:-	6	1.195008	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	55	10.954244	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146588:-	4	0.796672	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	23	4.580866	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	43392	8642.301108	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	8	1.593345	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146587:-	1	0.199168	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	4	0.796672	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	24843	4947.932486	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	8	1.593345	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	934	186.022982	N	mature,MIMAT0000062
