miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	3	0.452480	N	precursor
hsa-let-7a-1	hg38:chr9:94175943-94175962:+	1	0.150827	N	precursor
hsa-let-7a-1	hg38:chr9:94175944-94175962:+	1	0.150827	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175980:+	1	0.150827	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	15	2.262402	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	10	1.508268	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	9	1.357441	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	1347	203.163744	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	27319	4120.438242	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	36477	5501.710376	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	35442	5345.604604	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	542	81.748143	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	14	2.111576	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175989:+	1	0.150827	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	3	0.452480	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	7	1.055788	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	12	1.809922	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	1	0.150827	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	1	0.150827	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	3	0.452480	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	13	1.960749	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	29	4.373978	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	2	0.301654	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175982:+	1	0.150827	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	3	0.452480	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	11	1.659095	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	2	0.301654	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175988:+	1	0.150827	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175969-94175985:+	2	0.301654	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176005:+	2	0.301654	N	stemloop
hsa-let-7a-1	hg38:chr9:94175984-94176006:+	1	0.150827	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176031:+	2	0.301654	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176032:+	4	0.603307	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	31	4.675632	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	63	9.502090	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	19	2.865710	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	1	0.150827	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	2	0.301654	N	mature,MIMAT0004481
