miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	6	1.044520	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175980:+	2	0.348173	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	8	1.392694	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	19	3.307648	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	34	5.918949	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	947	164.860140	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	27848	4847.967442	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	38718	6740.290269	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	55696	9695.934883	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	1163	202.462875	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	25	4.352168	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175992:+	1	0.174087	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	4	0.696347	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	9	1.566781	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	15	2.611301	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	1	0.174087	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	3	0.522260	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	8	1.392694	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	1	0.174087	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	78	13.578765	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	187	32.554220	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	3	0.522260	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	8	1.392694	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	83	14.449199	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175985:+	1	0.174087	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	4	0.696347	N	mature,MIMAT0000062
