miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	1	0.220557	N	precursor
hsa-let-7a-1	hg38:chr9:94175943-94175962:+	1	0.220557	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	2	0.441115	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	8	1.764458	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	11	2.426130	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	155	34.186375	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	6328	1395.686341	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	12116	2672.271762	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	30124	6644.066899	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	791	174.460793	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	15	3.308359	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	1	0.220557	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	8	1.764458	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	56	12.351207	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	1	0.220557	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	9	1.985015	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	23	5.072817	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	1	0.220557	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	1	0.220557	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	2	0.441115	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175989:+	1	0.220557	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175968-94175985:+	1	0.220557	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176006:+	4	0.882229	N	stemloop
hsa-let-7a-1	hg38:chr9:94175984-94176007:+	3	0.661672	N	stemloop
hsa-let-7a-1	hg38:chr9:94175984-94176008:+	3	0.661672	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	18	3.970031	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	56	12.351207	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	22	4.852260	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	3	0.661672	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	1	0.220557	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	1	0.220557	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176036:+	1	0.220557	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146522-122146545:-	1	0.220557	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	26	5.734489	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	18	3.970031	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	5	1.102786	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146548:-	1	0.220557	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	14	3.087802	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	2	0.441115	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146589:-	1	0.220557	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	776	171.152434	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	2	0.441115	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	13	2.867244	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	47	10.366191	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	29810	6574.811920	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	7	1.543901	N	mature,MIMAT0000062
