miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	1	0.390875	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175981:+	1	0.390875	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	5	1.954377	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	2	0.781751	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	4	1.563502	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	148	57.849560	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	4213	1646.758079	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	8026	3137.165997	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	16017	6260.651355	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	345	134.852015	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	4	1.563502	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	5	1.954377	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	1	0.390875	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	8	3.127003	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	1	0.390875	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175982:+	1	0.390875	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	3	1.172626	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176007:+	1	0.390875	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	11	4.299629	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	27	10.553636	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	7	2.736128	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	12	4.690505	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	6	2.345252	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	2	0.781751	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	2	0.781751	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	354	138.369893	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	6	2.345252	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	7	2.736128	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	15971	6242.671086	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	2	0.781751	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	3	1.172626	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	8024	3136.384246	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	3	1.172626	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	2	0.781751	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	4226	1651.839460	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	1	0.390875	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	123	48.077675	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	1	0.390875	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	3	1.172626	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	19	7.426633	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	26	10.162761	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	17	6.644882	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	132	51.595553	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	4120	1610.406667	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	8071	3154.755390	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	15981	6246.579840	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	347	135.633765	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	1	0.390875	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	4	1.563502	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112773:+	1	0.390875	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	3	1.172626	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	6	2.345252	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112775:+	1	0.390875	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	7	2.736128	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112818:+	1	0.390875	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	9	3.517879	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	27	10.553636	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	13	5.081380	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112823:+	1	0.390875	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112824:+	1	0.390875	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113691-46113708:+	4	1.563502	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	27	10.553636	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	382	149.314405	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	6838	2672.806016	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	2971	1161.290827	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	7067	2762.316484	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	1395	545.271189	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	3	1.172626	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	1	0.390875	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113712:+	1	0.390875	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	4	1.563502	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113714:+	3	1.172626	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113711:+	1	0.390875	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	3	1.172626	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113713:+	4	1.563502	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113745-46113765:+	11	4.299629	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	52	20.325521	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113746-46113766:+	2	0.781751	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113748-46113766:+	1	0.390875	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539836-16539858:+	3	1.172626	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539859:+	1	0.390875	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539857:+	5	1.954377	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	35	13.680639	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	50	19.543770	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	40	15.635016	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	325	127.034506	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	1487	581.231727	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	1809	707.093607	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	7149	2794.368267	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	328	128.207133	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539862:+	3	1.172626	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539858:+	1	0.390875	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539860:+	6	2.345252	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539861:+	1	0.390875	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539860:+	1	0.390875	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539842-16539860:+	2	0.781751	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539860-16539881:+	1	0.390875	N	stemloop
hsa-let-7c	hg38:chr21:16539881-16539905:+	1	0.390875	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539903:+	4	1.563502	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539904:+	13	5.081380	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539905:+	57	22.279898	N	mature,MIMAT0026472
hsa-let-7d	hg38:chr9:94178840-94178862:+	1	0.390875	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178857:+	1	0.390875	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178859:+	3	1.172626	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178861:+	106	41.432793	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178862:+	182	71.139324	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178863:+	546	213.417971	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178864:+	34	13.289764	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178865:+	1	0.390875	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178862:+	2	0.781751	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178863:+	8	3.127003	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178843-94178863:+	1	0.390875	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178845-94178863:+	1	0.390875	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178846-94178863:+	1	0.390875	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178894-94178917:+	1	0.390875	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178911:+	1	0.390875	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178915:+	101	39.478416	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178916:+	387	151.268782	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178917:+	921	359.996248	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178918:+	3	1.172626	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178915:+	2	0.781751	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178916:+	7	2.736128	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178917:+	41	16.025892	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178897-94178916:+	2	0.781751	N	mature,MIMAT0004484
hsa-let-7e	hg38:chr19:51692772-51692793:+	1	0.390875	N	precursor
hsa-let-7e	hg38:chr19:51692776-51692793:+	1	0.390875	N	precursor
hsa-let-7e	hg38:chr19:51692793-51692810:+	2	0.781751	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692811:+	16	6.254006	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692812:+	10	3.908754	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692813:+	299	116.871746	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692814:+	1056	412.764427	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692815:+	3243	1267.608937	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692816:+	67	26.188652	N	mature,MIMAT0000066
