miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	4	1.145125	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	6	1.717688	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	4	1.145125	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	8	2.290250	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	735	210.416745	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	16464	4713.335097	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	18629	5333.134082	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	20372	5832.122363	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	379	108.500607	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	13	3.721657	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175987:+	1	0.286281	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	4	1.145125	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	5	1.431406	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	5	1.431406	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	1	0.286281	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	6	1.717688	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	27	7.729595	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	2	0.572563	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175982:+	1	0.286281	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	5	1.431406	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	18	5.153063	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	1	0.286281	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176006:+	1	0.286281	N	stemloop
hsa-let-7a-1	hg38:chr9:94176010-94176033:+	1	0.286281	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	8	2.290250	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	34	9.733564	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	1	0.286281	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	1	0.286281	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	10	2.862813	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	9	2.576532	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146546:-	1	0.286281	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	5	1.431406	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146546:-	1	0.286281	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146526-122146545:-	1	0.286281	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	7	2.003969	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146583:-	1	0.286281	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146589:-	1	0.286281	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	361	103.347544	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146585:-	2	0.572563	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	12	3.435375	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	26	7.443313	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	9	2.576532	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	20251	5797.482328	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	2	0.572563	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146586:-	6	1.717688	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	12	3.435375	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	18875	5403.559278	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	7	2.003969	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146586:-	1	0.286281	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146587:-	4	1.145125	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	9	2.576532	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	16422	4701.311283	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	3	0.858844	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146592:-	1	0.286281	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	752	215.283527	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146572-122146591:-	3	0.858844	Y	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146572-122146592:-	1	0.286281	Y	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	7	2.003969	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146611:-	1	0.286281	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	2	0.572563	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112768:+	2	0.572563	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	3	0.858844	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	2	0.572563	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	20	5.725626	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	31	8.874720	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	6	1.717688	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	754	215.856090	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	16286	4662.377028	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	18954	5426.175500	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	20067	5744.806571	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	377	107.928045	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	2	0.572563	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	2	0.572563	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	2	0.572563	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	7	2.003969	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112775:+	1	0.286281	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112774:+	1	0.286281	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112772:+	1	0.286281	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	13	3.721657	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	20	5.725626	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112772:+	2	0.572563	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112773:+	5	1.431406	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	16	4.580501	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112775:+	1	0.286281	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112757-46112774:+	1	0.286281	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112759-46112775:+	4	1.145125	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112818:+	1	0.286281	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	18	5.153063	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	25	7.157032	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	5	1.431406	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112823:+	1	0.286281	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	1	0.286281	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112803-46112824:+	1	0.286281	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113672-46113691:+	1	0.286281	N	precursor
hsa-let-7b	hg38:chr22:46113690-46113707:+	2	0.572563	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113708:+	39	11.164970	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	88	25.192753	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	1547	442.877150	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	20526	5876.209682	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	5899	1688.773308	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	7094	2030.879445	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	961	275.116316	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113710:+	1	0.286281	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	6	1.717688	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	5	1.431406	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113693-46113711:+	2	0.572563	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113711:+	1	0.286281	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113712:+	1	0.286281	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	10	2.862813	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	1	0.286281	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113712:+	1	0.286281	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113713:+	7	2.003969	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113714:+	6	1.717688	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113711:+	3	0.858844	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113713:+	1	0.286281	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113697-46113713:+	1	0.286281	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113698-46113714:+	8	2.290250	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113739-46113761:+	1	0.286281	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113762:+	1	0.286281	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113764:+	2	0.572563	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113765:+	44	12.596377	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	93	26.624160	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113767:+	1	0.286281	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113746-46113764:+	1	0.286281	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113746-46113766:+	1	0.286281	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539836-16539856:+	1	0.286281	Y	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539857:+	2	0.572563	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539858:+	3	0.858844	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539859:+	1	0.286281	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539854:+	1	0.286281	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539856:+	3	0.858844	Y	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539857:+	29	8.302157	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	105	30.059535	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	74	21.184815	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	41	11.737533	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	1710	489.540999	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	6208	1777.234225	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	4459	1276.528255	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	8894	2546.185760	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	282	80.731323	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539862:+	8	2.290250	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539857:+	2	0.572563	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539858:+	1	0.286281	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539859:+	4	1.145125	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539860:+	5	1.431406	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539858:+	4	1.145125	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539860:+	14	4.007938	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539842-16539860:+	2	0.572563	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539843-16539860:+	3	0.858844	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539845-16539861:+	1	0.286281	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539883-16539903:+	4	1.145125	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539904:+	38	10.878689	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539905:+	64	18.322002	N	mature,MIMAT0026472
hsa-let-7d	hg38:chr9:94178840-94178864:+	1	0.286281	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178857:+	5	1.431406	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178859:+	22	6.298188	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178860:+	13	3.721657	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178861:+	531	152.015363	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178862:+	647	185.223992	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178863:+	887	253.931501	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178864:+	40	11.451251	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178865:+	2	0.572563	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178861:+	4	1.145125	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178862:+	16	4.580501	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178863:+	20	5.725626	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178864:+	1	0.286281	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178844-94178863:+	5	1.431406	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178845-94178862:+	4	1.145125	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178845-94178863:+	7	2.003969	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178845-94178864:+	1	0.286281	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178846-94178862:+	2	0.572563	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178848-94178863:+	1	0.286281	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178895-94178911:+	15	4.294219	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178912:+	1	0.286281	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178913:+	33	9.447282	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178914:+	20	5.725626	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178915:+	549	157.168426	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178916:+	1438	411.672490	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178917:+	2078	594.892513	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178918:+	5	1.431406	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178915:+	25	7.157032	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178916:+	67	19.180846	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178917:+	165	47.236412	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178897-94178915:+	1	0.286281	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178897-94178916:+	1	0.286281	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178897-94178917:+	4	1.145125	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178898-94178917:+	5	1.431406	N	mature,MIMAT0004484
hsa-let-7e	hg38:chr19:51692771-51692793:+	1	0.286281	N	precursor
hsa-let-7e	hg38:chr19:51692774-51692793:+	2	0.572563	N	precursor
hsa-let-7e	hg38:chr19:51692775-51692793:+	1	0.286281	N	precursor
hsa-let-7e	hg38:chr19:51692793-51692810:+	12	3.435375	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692811:+	157	44.946162	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692812:+	103	29.486972	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692813:+	1537	440.014337	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692814:+	3633	1040.059913	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692815:+	4846	1387.319113	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692816:+	93	26.624160	N	mature,MIMAT0000066
