miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	1	0.143027	N	precursor
hsa-let-7a-1	hg38:chr9:94175943-94175962:+	1	0.143027	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175980:+	1	0.143027	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175981:+	1	0.143027	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	10	1.430274	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	21	3.003576	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	36	5.148987	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175985:+	1	0.143027	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	712	101.835528	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	18775	2685.339946	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	45015	6438.379637	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	71362	10206.723262	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	1168	167.056035	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	16	2.288439	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	4	0.572110	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	4	0.572110	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	22	3.146603	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	2	0.286055	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175986:+	1	0.143027	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	3	0.429082	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	17	2.431466	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	42	6.007152	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	1	0.143027	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	6	0.858165	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	5	0.715137	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	3	0.429082	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175989:+	2	0.286055	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176007:+	1	0.143027	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176031:+	2	0.286055	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176032:+	1	0.143027	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	12	1.716329	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	53	7.580454	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	15	2.145411	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146544:-	1	0.143027	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	48	6.865317	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	33	4.719905	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	16	2.288439	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146546:-	4	0.572110	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146526-122146545:-	3	0.429082	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146526-122146546:-	2	0.286055	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146527-122146545:-	2	0.286055	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	12	1.716329	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146586:-	1	0.143027	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	1	0.143027	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146589:-	1	0.143027	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	1144	163.623377	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146591:-	1	0.143027	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	11	1.573302	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	40	5.721097	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	14	2.002384	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	71459	10220.596922	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	12	1.716329	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146586:-	5	0.715137	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	24	3.432658	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146588:-	1	0.143027	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	7	1.001192	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	44943	6428.081662	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	26	3.718713	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146587:-	1	0.143027	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	5	0.715137	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	18469	2641.573553	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	17	2.431466	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146589:-	1	0.143027	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	707	101.120391	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146591:-	1	0.143027	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146572-122146591:-	3	0.429082	Y	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146572-122146592:-	1	0.143027	Y	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	16	2.288439	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146611:-	4	0.572110	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	8	1.144219	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	2	0.286055	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	2	0.286055	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	81	11.585222	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	108	15.446962	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	32	4.576878	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112775:+	2	0.286055	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	685	97.973788	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	18628	2664.314914	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	44529	6368.868307	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	71798	10269.083220	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	1124	160.762828	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	1	0.143027	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	3	0.429082	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	5	0.715137	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	13	1.859357	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112774:+	2	0.286055	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112772:+	1	0.143027	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	22	3.146603	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	38	5.435042	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112775:+	4	0.572110	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112772:+	1	0.143027	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112773:+	1	0.143027	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	10	1.430274	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112775:+	1	0.143027	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112757-46112774:+	3	0.429082	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112759-46112775:+	1	0.143027	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112819:+	1	0.143027	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	15	2.145411	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	58	8.295591	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	3	0.429082	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112803-46112825:+	1	0.143027	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113671-46113691:+	2	0.286055	N	precursor
hsa-let-7b	hg38:chr22:46113690-46113709:+	1	0.143027	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113690-46113711:+	1	0.143027	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113708:+	27	3.861741	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	81	11.585222	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	1315	188.081067	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	23709	3391.037272	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	13189	1886.388738	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	25435	3637.902611	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	4347	621.740226	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	6	0.858165	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113712:+	1	0.143027	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	6	0.858165	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113714:+	2	0.286055	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113693-46113711:+	1	0.143027	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113693-46113713:+	1	0.143027	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113711:+	4	0.572110	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	13	1.859357	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	6	0.858165	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113711:+	1	0.143027	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113713:+	3	0.429082	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113714:+	3	0.429082	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113714:+	1	0.143027	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113739-46113760:+	1	0.143027	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113765:+	19	2.717521	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	105	15.017880	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113746-46113765:+	2	0.286055	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539836-16539856:+	1	0.143027	Y	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539857:+	3	0.429082	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539858:+	17	2.431466	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539859:+	6	0.858165	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539860:+	1	0.143027	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539856:+	3	0.429082	Y	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539857:+	40	5.721097	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	271	38.760433	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	269	38.474378	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	136	19.451730	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	1366	195.375466	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	8391	1200.143142	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	10469	1497.354136	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	34691	4961.764478	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	1249	178.641257	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539862:+	8	1.144219	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539858:+	2	0.286055	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539859:+	4	0.572110	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539860:+	26	3.718713	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539861:+	5	0.715137	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539859:+	2	0.286055	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539860:+	16	2.288439	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539861:+	2	0.286055	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539842-16539858:+	1	0.143027	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539842-16539860:+	4	0.572110	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539842-16539861:+	2	0.286055	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539843-16539860:+	1	0.143027	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539844-16539860:+	1	0.143027	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539881-16539901:+	1	0.143027	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539881-16539903:+	1	0.143027	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539902:+	1	0.143027	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539903:+	4	0.572110	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539904:+	57	8.152563	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539905:+	136	19.451730	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539906:+	2	0.286055	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539884-16539906:+	1	0.143027	N	mature,MIMAT0026472
hsa-let-7d	hg38:chr9:94178841-94178857:+	5	0.715137	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178858:+	3	0.429082	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178859:+	9	1.287247	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178860:+	6	0.858165	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178861:+	480	68.653165	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178862:+	1037	148.319442	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178863:+	2359	337.401701	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178864:+	106	15.160907	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178865:+	1	0.143027	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178861:+	1	0.143027	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178862:+	28	4.004768	N	mature,MIMAT0000065
