miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	10	1.107984	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	4	0.443194	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	6	0.664791	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	491	54.402033	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	11555	1280.275950	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	16651	1844.904790	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	23288	2580.274022	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	306	33.904322	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	9	0.997186	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	5	0.553992	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	6	0.664791	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	9	0.997186	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	1	0.110798	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	2	0.221597	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	2	0.221597	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	6	0.664791	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	11	1.218783	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	1	0.110798	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175982:+	1	0.110798	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	2	0.221597	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	12	1.329581	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	2	0.221597	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175992:+	1	0.110798	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176006:+	2	0.221597	N	stemloop
hsa-let-7a-1	hg38:chr9:94175984-94176007:+	1	0.110798	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176031:+	3	0.332395	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176032:+	2	0.221597	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	28	3.102356	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	63	6.980302	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	22	2.437566	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176033:+	4	0.443194	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	2	0.221597	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	1	0.110798	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	38	4.210341	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	31	3.434752	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146546:-	3	0.332395	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	15	1.661977	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146546:-	2	0.221597	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146526-122146545:-	1	0.110798	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146527-122146545:-	1	0.110798	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146528-122146548:-	2	0.221597	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	6	0.664791	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146583:-	4	0.443194	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	1	0.110798	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	292	32.353144	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146585:-	1	0.110798	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	11	1.218783	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	23	2.548364	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	7	0.775589	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	23244	2575.398891	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	5	0.553992	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146586:-	2	0.221597	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	8	0.886388	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146588:-	1	0.110798	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	6	0.664791	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	16539	1832.495365	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	8	0.886388	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146586:-	1	0.110798	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146587:-	1	0.110798	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	2	0.221597	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	11585	1283.599903	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	5	0.553992	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	543	60.163552	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146572-122146591:-	1	0.110798	Y	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146585-122146602:-	1	0.110798	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146585-122146604:-	1	0.110798	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146609:-	1	0.110798	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	27	2.991558	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146611:-	3	0.332395	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112769:+	1	0.110798	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	1	0.110798	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	2	0.221597	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	77	8.531480	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	73	8.088286	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	35	3.877945	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112775:+	1	0.110798	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	559	61.936327	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	11577	1282.713516	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	16992	1882.687057	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	23233	2574.180108	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	285	31.577555	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	4	0.443194	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	4	0.443194	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	10	1.107984	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112775:+	1	0.110798	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112774:+	1	0.110798	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	8	0.886388	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	18	1.994372	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112772:+	1	0.110798	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112773:+	3	0.332395	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	16	1.772775	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112775:+	2	0.221597	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112818:+	1	0.110798	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112819:+	3	0.332395	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	40	4.431938	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	71	7.866689	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	13	1.440380	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112820:+	2	0.221597	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112821:+	3	0.332395	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112822:+	2	0.221597	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112803-46112825:+	1	0.110798	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113671-46113691:+	4	0.443194	N	precursor
hsa-let-7b	hg38:chr22:46113672-46113691:+	1	0.110798	N	precursor
hsa-let-7b	hg38:chr22:46113673-46113691:+	1	0.110798	N	precursor
hsa-let-7b	hg38:chr22:46113690-46113707:+	1	0.110798	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113690-46113711:+	1	0.110798	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113708:+	68	7.534294	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	128	14.182200	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	2477	274.447731	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	27295	3024.243363	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	10934	1211.470120	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	15818	1752.609691	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	1962	217.386535	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	3	0.332395	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	14	1.551178	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113712:+	4	0.443194	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	4	0.443194	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113714:+	4	0.443194	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113693-46113712:+	1	0.110798	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113711:+	2	0.221597	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113712:+	3	0.332395	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	29	3.213155	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	7	0.775589	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113711:+	3	0.332395	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113712:+	5	0.553992	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113713:+	11	1.218783	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113714:+	12	1.329581	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113713:+	1	0.110798	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113714:+	1	0.110798	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113697-46113713:+	2	0.221597	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113698-46113714:+	7	0.775589	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113721-46113741:+	1	0.110798	N	unannotated
hsa-let-7b	hg38:chr22:46113745-46113762:+	2	0.221597	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113763:+	2	0.221597	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113764:+	1	0.110798	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113765:+	41	4.542736	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	97	10.747448	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113767:+	1	0.110798	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113746-46113765:+	1	0.110798	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539836-16539857:+	1	0.110798	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539858:+	2	0.221597	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539859:+	2	0.221597	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539856:+	1	0.110798	Y	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539857:+	28	3.102356	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	63	6.980302	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	47	5.207527	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	23	2.548364	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	881	97.613424	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	3083	341.591584	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	2596	287.632745	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	5685	629.889120	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	111	12.298627	N	mature,MIMAT0000064
