miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175961:+	2	0.169641	N	precursor
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	14	1.187485	N	precursor
hsa-let-7a-1	hg38:chr9:94175943-94175962:+	5	0.424102	N	precursor
hsa-let-7a-1	hg38:chr9:94175944-94175962:+	1	0.084820	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175980:+	4	0.339282	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175981:+	2	0.169641	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	31	2.629432	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	35	2.968714	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	23	1.950869	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	3608	306.031968	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	63428	5379.987715	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	114642	9723.979182	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	98883	8387.294652	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	1160	98.391653	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	21	1.781228	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	14	1.187485	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	30	2.544612	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	33	2.799073	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	2	0.169641	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175982:+	1	0.084820	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	12	1.017845	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	14	1.187485	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	5	0.424102	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	176	14.928389	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	177	15.013209	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	2	0.169641	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175982:+	4	0.339282	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	27	2.290151	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	72	6.107068	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175985:+	5	0.424102	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	15	1.272306	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175988:+	1	0.084820	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175989:+	3	0.254461	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176005:+	1	0.084820	N	stemloop
hsa-let-7a-1	hg38:chr9:94176008-94176029:+	1	0.084820	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176008-94176030:+	1	0.084820	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176030:+	1	0.084820	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176031:+	6	0.508922	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176032:+	6	0.508922	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	108	9.160602	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	115	9.754345	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	16	1.357126	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	4	0.339282	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	2	0.169641	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	1	0.084820	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176034:+	1	0.084820	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176016-94176036:+	1	0.084820	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146522-122146545:-	1	0.084820	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	31	2.629432	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	33	2.799073	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	43	3.647277	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146546:-	1	0.084820	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146526-122146545:-	4	0.339282	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146526-122146546:-	2	0.169641	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146527-122146545:-	4	0.339282	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146527-122146547:-	1	0.084820	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146527-122146548:-	1	0.084820	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146528-122146545:-	2	0.169641	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146528-122146548:-	3	0.254461	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146529-122146548:-	1	0.084820	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146564-122146585:-	1	0.084820	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	14	1.187485	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146585:-	1	0.084820	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146586:-	1	0.084820	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	2	0.169641	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	1072	90.927458	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146585:-	18	1.526767	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	55	4.665121	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	168	14.249826	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146588:-	9	0.763384	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	40	3.392816	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	98569	8360.661049	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	12	1.017845	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146586:-	32	2.714252	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	153	12.977520	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146588:-	18	1.526767	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	23	1.950869	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	114103	9678.260992	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	23	1.950869	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146586:-	1	0.084820	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146587:-	6	0.508922	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146588:-	2	0.169641	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	14	1.187485	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	63514	5387.282268	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	25	2.120510	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	3631	307.982837	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146591:-	2	0.169641	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146572-122146591:-	12	1.017845	Y	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146609:-	1	0.084820	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	28	2.374971	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146611:-	6	0.508922	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	10	0.848204	N	precursor
hsa-let-7a-3	hg38:chr22:46112750-46112774:+	1	0.084820	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112768:+	2	0.169641	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112769:+	3	0.254461	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	23	1.950869	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	16	1.357126	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	169	14.334646	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	142	12.044495	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	21	1.781228	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	3583	303.911458	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	63770	5408.996288	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	113993	9668.930749	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	98483	8353.366496	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	1084	91.945303	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	3	0.254461	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112771:+	1	0.084820	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	13	1.102665	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	27	2.290151	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	40	3.392816	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112775:+	2	0.169641	N	mature,MIMAT0000062
