miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	1	0.147162	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175981:+	1	0.147162	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	16	2.354599	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	20	2.943249	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	16	2.354599	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	940	138.332697	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	27586	4059.623158	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	53215	7831.249415	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	70630	10394.083363	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	968	142.453245	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	16	2.354599	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175981:+	1	0.147162	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	7	1.030137	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	6	0.882975	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	24	3.531899	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	2	0.294325	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	6	0.882975	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	3	0.441487	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175985:+	1	0.147162	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	53	7.799609	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	105	15.452057	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	2	0.294325	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175982:+	1	0.147162	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	10	1.471624	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	34	5.003523	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175985:+	1	0.147162	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	6	0.882975	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175988:+	1	0.147162	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176006:+	2	0.294325	N	stemloop
hsa-let-7a-1	hg38:chr9:94175984-94176007:+	1	0.147162	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176031:+	1	0.147162	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176032:+	1	0.147162	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	27	3.973386	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	55	8.093934	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	19	2.796086	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	1	0.147162	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	2	0.294325	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146522-122146545:-	2	0.294325	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	62	9.124071	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	55	8.093934	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146546:-	4	0.588650	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	35	5.150686	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146546:-	5	0.735812	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146526-122146545:-	5	0.735812	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146526-122146546:-	1	0.147162	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146527-122146545:-	2	0.294325	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146527-122146548:-	1	0.147162	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146528-122146545:-	1	0.147162	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146528-122146548:-	1	0.147162	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	8	1.177300	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146583:-	1	0.147162	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146586:-	4	0.588650	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	3	0.441487	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	944	138.921346	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146585:-	4	0.588650	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	36	5.297848	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	87	12.803133	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146588:-	5	0.735812	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	23	3.384736	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	70423	10363.620738	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	12	1.765949	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146586:-	4	0.588650	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	53	7.799609	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146588:-	4	0.588650	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	9	1.324462	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	53426	7862.300691	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	11	1.618787	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146586:-	1	0.147162	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146587:-	3	0.441487	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	3	0.441487	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	27134	3993.105734	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	16	2.354599	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	895	131.710387	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146591:-	1	0.147162	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146572-122146591:-	3	0.441487	Y	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146573-122146591:-	1	0.147162	Y	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	3	0.441487	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146611:-	2	0.294325	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	2	0.294325	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	3	0.441487	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	3	0.441487	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	60	8.829747	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	86	12.655970	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	38	5.592173	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	925	136.125260	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	27689	4074.780890	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	53293	7842.728086	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	70441	10366.269662	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	1001	147.309606	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	1	0.147162	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	2	0.294325	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	15	2.207437	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	28	4.120548	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112776:+	1	0.147162	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112772:+	1	0.147162	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112773:+	5	0.735812	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112774:+	5	0.735812	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112772:+	5	0.735812	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	42	6.180823	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	112	16.482194	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112775:+	4	0.588650	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112772:+	2	0.294325	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112773:+	3	0.441487	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	36	5.297848	N	mature,MIMAT0000062
