miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	2	0.599647	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	10	2.998234	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	7	2.098764	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	14	4.197527	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	140	41.975272	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	6348	1903.278778	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	12494	3745.993235	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	24079	7219.447024	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	552	165.502502	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	7	2.098764	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	2	0.599647	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	2	0.599647	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	7	2.098764	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	1	0.299823	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	1	0.299823	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	1	0.299823	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	2	0.599647	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	9	2.698410	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	22	6.596114	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	2	0.599647	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	4	1.199293	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175988:+	1	0.299823	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175989:+	2	0.599647	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176009-94176031:+	1	0.299823	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176031:+	1	0.299823	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176032:+	1	0.299823	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	23	6.895938	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	37	11.093465	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	12	3.597880	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	1	0.299823	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	3	0.899470	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	5	1.499117	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	6	1.798940	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146546:-	1	0.299823	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	2	0.599647	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146526-122146545:-	1	0.299823	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	5	1.499117	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146586:-	2	0.599647	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146589:-	1	0.299823	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	550	164.902856	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	9	2.698410	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	19	5.696644	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146588:-	1	0.299823	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	13	3.897704	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	24007	7197.859741	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	1	0.299823	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146586:-	2	0.599647	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	15	4.497351	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	4	1.199293	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	12563	3766.681048	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	4	1.199293	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146588:-	1	0.299823	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	3	0.899470	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	6262	1877.493968	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	135	40.476155	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146572-122146591:-	1	0.299823	Y	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	1	0.299823	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	1	0.299823	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	3	0.899470	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	1	0.299823	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	37	11.093465	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	79	23.686047	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	32	9.594348	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	154	46.172800	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	6402	1919.469241	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	12396	3716.610545	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	24116	7230.540489	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	538	161.304975	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	3	0.899470	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	9	2.698410	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112775:+	1	0.299823	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112774:+	2	0.599647	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	8	2.398587	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	18	5.396821	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112773:+	3	0.899470	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	6	1.798940	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112775:+	1	0.299823	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112795-46112817:+	1	0.299823	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	14	4.197527	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	46	13.791875	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	18	5.396821	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112822:+	2	0.599647	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113691-46113708:+	14	4.197527	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	29	8.694878	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	663	198.782897	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	16977	5090.101421	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	6456	1935.659703	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	15930	4776.186349	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	3897	1168.411689	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	2	0.599647	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	2	0.599647	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113712:+	1	0.299823	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	5	1.499117	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113712:+	1	0.299823	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	13	3.897704	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	4	1.199293	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113713:+	1	0.299823	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113714:+	4	1.199293	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113713:+	1	0.299823	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113714:+	1	0.299823	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113740-46113762:+	1	0.299823	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113765:+	26	7.795408	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	98	29.382691	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539836-16539859:+	2	0.599647	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539856:+	1	0.299823	Y	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539857:+	12	3.597880	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	55	16.490286	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	75	22.486753	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	33	9.894171	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539861:+	2	0.599647	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	288	86.349132	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	1925	577.159995	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	1715	514.197086	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	8556	2565.288788	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	415	124.426700	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539862:+	2	0.599647	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539857:+	1	0.299823	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539859:+	2	0.599647	N	mature,MIMAT0000064
